timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.5967,27.9820,39.9500,36.5954,12.5975,64.8589,53.2175,224.2451,216.2591,225.9971,213.6276,769.6266,753.3025,772.1775,757.5666
1.0,28.0753,28.0825,42.6933,40.3312,12.7010,65.2435,52.6097,224.4038,216.9609,225.7564,213.5499,764.6431,755.4080,775.1311,752.0082
2.0,27.7441,27.9639,42.0219,39.0231,12.8684,66.0194,51.7300,223.9277,216.5682,224.2566,209.8674,779.0788,757.5722,784.0779,753.4028
3.0,27.5315,27.8504,45.9205,38.5794,13.0784,66.3253,52.3412,226.1465,216.8503,225.4861,211.3116,775.2210,757.7878,772.3758,751.8593
4.0,28.0223,28.0589,43.8285,40.6069,13.0504,66.9101,50.5845,225.0625,217.8202,226.2611,213.9638,776.3887,752.2101,770.9387,745.1331
5.0,27.9154,27.9567,42.2019,41.3955,12.6762,65.3325,51.9033,224.3816,216.1022,225.8967,212.9199,768.2541,752.9388,790.1860,750.9987
6.0,28.0277,27.6789,42.9640,40.4232,12.7087,66.9786,52.3226,222.8566,216.5517,226.8193,212.3420,776.1978,757.4111,781.5784,751.2564
7.0,27.6639,28.0011,44.8059,39.5675,13.2333,68.3999,51.6699,224.3583,217.0395,226.6997,212.6788,780.8246,754.8184,780.3464,753.4068
8.0,27.8104,27.8981,43.8923,42.3776,13.6073,67.0805,51.5710,225.2747,218.7764,225.3641,212.3176,774.1627,758.9573,772.3249,758.6608
9.0,27.9204,27.9538,45.6089,40.2441,13.4843,69.0369,51.8130,225.5749,216.1153,226.6466,209.0685,773.9724,754.7229,779.3295,760.8655
10.0,27.7986,27.6054,40.7179,41.7637,12.9845,68.0634,50.8937,225.1294,219.0758,227.7902,214.1943,776.9164,769.0123,778.9354,763.6971
11.0,28.1000,27.6580,44.4410,42.6959,13.7336,68.0869,51.8385,225.5518,218.4072,227.9200,213.5842,788.7703,753.4397,784.0913,755.7666
12.0,28.0084,27.6993,42.5398,40.5659,13.6155,69.3889,52.0022,226.9549,217.6670,224.6743,213.6742,783.8896,763.0299,779.5467,767.8547
13.0,27.9065,27.4956,44.4175,39.4681,13.5434,70.7279,51.1303,226.6547,221.0179,223.5249,211.6647,782.6597,767.3797,792.9601,765.7344
14.0,27.9305,27.9149,44.4176,40.1392,13.8010,71.4961,49.5235,226.7955,223.5380,230.1359,211.7654,784.8254,761.4075,791.1773,766.6230
15.0,27.7694,27.4959,44.9498,42.4709,14.0016,68.4257,49.5974,225.9086,218.7568,227.1162,210.0785,787.3324,761.4038,790.4002,775.1938
16.0,27.8653,27.8810,42.8493,43.0532,14.2145,70.9706,50.0640,226.4863,219.4511,226.5432,215.0304,784.9107,767.1254,792.2316,772.1008
17.0,28.0853,27.7252,42.7711,42.1302,13.3675,68.7978,50.0764,226.9161,221.6446,225.2690,215.2176,785.4205,768.3900,792.1840,771.1410
