timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.0028,27.9533,42.1471,40.2466,12.2440,63.0569,53.0860,223.5405,215.3041,224.6701,215.0741,777.5653,753.4580,770.6208,747.4560
1.0,27.9114,27.8026,39.4773,38.2370,12.9548,64.9905,53.1997,227.1220,217.6275,224.6551,209.5831,777.0624,758.1627,787.4276,746.7695
2.0,28.1637,27.6442,43.6800,41.5014,12.2847,66.1962,51.5954,225.2490,213.9101,228.0111,214.7545,770.2037,752.4025,775.1246,751.5634
3.0,27.8747,27.9730,43.9503,41.5541,13.4691,67.7330,51.6070,225.8150,215.9060,225.4416,215.4161,766.0778,752.5802,777.5567,748.6476
4.0,28.0470,27.6059,41.4926,38.8320,12.6910,66.3621,51.7126,223.4002,214.5459,225.8848,211.3730,770.7010,758.0694,778.6180,759.2652
5.0,27.9371,27.6700,40.1297,39.7251,12.8395,68.4513,51.6191,226.1772,216.0995,226.1633,211.8706,776.2089,764.3614,776.1027,745.0889
6.0,28.3523,27.9777,43.2823,38.3987,12.5010,67.6199,51.3577,222.2337,215.8258,225.4837,213.1284,777.9869,754.1831,779.5648,755.4505
7.0,27.8161,27.6050,44.1492,39.1567,13.0168,67.0867,50.7466,222.9726,217.5293,226.9554,213.7303,781.9770,755.7904,789.0944,764.7883
8.0,27.7401,27.7888,42.1540,36.8574,13.5606,68.6174,51.8820,222.3180,215.4131,227.5611,213.7205,779.0729,753.9356,780.8811,748.0528
9.0,27.9781,28.0192,40.6112,40.0809,13.3379,68.3680,50.8837,226.5536,217.4508,226.2931,212.9374,774.1847,755.8404,786.7991,764.4052
10.0,27.7994,27.6292,44.5335,40.9663,13.7656,69.6055,50.1728,225.9019,218.2332,226.7939,213.3578,777.6198,770.4988,787.1610,758.4220
11.0,27.9553,28.1766,42.4658,43.2857,13.2227,69.3639,51.4139,226.8766,214.9199,229.2445,210.8612,781.0275,766.2348,782.3620,758.0818
12.0,27.7220,27.4213,43.7358,43.8456,13.5045,69.7696,51.8221,224.4579,220.0087,229.2680,213.1393,790.7909,761.7508,785.0595,759.8744
13.0,28.0921,27.8814,43.8868,41.2213,13.5005,68.8928,49.3947,224.7957,218.3748,228.2947,212.0030,784.8142,762.6951,786.2540,756.4771
14.0,28.1215,27.8231,44.4677,43.5567,14.3559,69.3910,49.1673,225.4129,219.0389,226.0104,214.6251,774.1420,773.8391,794.1333,774.5238
15.0,28.1967,27.8469,44.5714,41.1598,13.3996,70.5711,52.0238,225.3432,220.5827,227.5694,212.9830,784.5969,765.2163,794.0922,760.7408
16.0,27.8219,27.7720,43.4390,41.2552,13.2914,70.3668,52.5734,226.2673,218.4242,224.7582,212.1238,785.6089,778.2885,794.3028,759.9394
17.0,27.6969,27.4823,43.0711,42.5422,13.5002,70.1865,51.4888,226.4654,219.8587,228.4329,212.1739,786.0075,766.7318,791.5553,768.3227
18.0,27.9675,27.5499,45.5943,40.7123,13.7687,69.4680,51.1944,225.0767,220.5705,229.4758,215.8395,787.1660,765.9944,781.0380,769.0115
