timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.1547,28.1606,40.4289,38.7705,12.1043,65.8599,52.5707,224.6201,216.0416,222.8255,211.5364,765.7473,744.8136,782.7635,753.4564
1.0,27.8958,27.6603,39.8209,39.1070,12.5986,65.4119,52.2747,225.1573,217.5353,226.7660,213.9179,783.0651,746.5404,776.6771,757.7331
2.0,27.8112,27.8750,42.1498,43.2447,13.2059,65.4377,53.3070,224.4991,217.5257,226.9572,211.5692,771.0865,758.1319,786.3522,751.2624
3.0,27.8148,27.7806,45.1991,40.5234,13.0546,66.0784,51.6181,223.4322,216.1717,226.5408,216.5579,777.3978,746.9382,780.0876,753.6485
4.0,27.7772,27.8752,42.6901,38.2308,12.9702,66.7843,52.3911,224.5165,220.4791,226.7290,211.9566,777.1208,762.4063,773.4724,760.3575
5.0,27.8327,27.9828,41.9725,41.4385,12.8237,67.5019,52.1554,225.3779,217.9972,225.3564,214.0532,775.2112,766.1057,777.8185,747.1013
6.0,28.0792,27.6452,41.7480,40.2204,13.2640,66.8228,52.4814,223.2258,217.4826,226.3797,211.1679,773.3493,755.4913,770.3863,749.0691
7.0,28.0194,27.6324,42.3392,39.4010,13.1078,69.2563,54.0091,222.6591,216.4031,226.3503,212.8980,771.5436,758.1641,785.6992,751.8699
8.0,27.8592,27.8338,42.0705,40.9840,13.0087,67.5264,52.4192,223.3905,214.9021,225.8401,211.6416,774.5353,754.5300,781.4155,746.5525
9.0,27.9410,28.0217,42.5426,42.1035,13.3866,68.7467,51.3002,226.7461,218.0474,225.8973,211.1368,771.7302,759.1683,781.2358,757.8714
10.0,27.8926,27.7534,44.0881,41.3380,13.4004,68.1362,52.2348,224.2558,218.8634,225.0241,212.3761,782.8422,761.0587,785.8646,758.7340
11.0,27.9211,27.9182,44.0716,41.4058,13.8485,67.7633,49.2525,225.2679,221.8644,226.9470,211.3728,783.4376,764.0837,786.1664,761.3037
12.0,27.9170,27.7641,43.0547,41.3864,13.8887,69.3963,49.9773,225.3223,218.9278,224.2822,212.9813,787.2442,773.1985,781.9310,757.7692
13.0,27.7827,27.7135,46.1200,44.3445,13.2399,68.4841,49.1172,226.8809,218.6361,227.2484,215.3873,783.2875,768.1306,783.9478,750.7409
14.0,27.7274,27.7580,44.1440,41.6735,13.9426,69.1012,49.9337,225.6202,218.1540,224.5893,213.9318,779.7108,767.7366,785.1170,760.7619
15.0,27.8598,27.8313,45.8562,40.7151,13.6841,70.9405,51.2822,226.0203,220.0791,225.7071,212.3977,792.0032,772.8750,789.8935,764.2670
16.0,27.8610,27.9711,45.0761,42.3839,13.3534,70.7178,50.5407,224.5031,221.8580,225.6936,214.3370,781.8298,773.1749,793.4686,770.2395
17.0,27.8534,27.6884,47.1533,44.6909,13.7404,69.2463,51.7632,227.6121,219.7029,229.7036,216.5587,794.0299,781.3146,791.6521,766.2527
18.0,27.8672,27.7788,44.5465,40.7570,14.0864,70.5228,51.9598,226.4416,219.4021,228.1734,212.0229,782.3787,771.5490,790.0626,772.2600
19.0,27.7947,27.8632,45.2646,43.0522,14.1033,71.2553,50.2670,227.0573,218.4403,229.8761,215.0128,788.5178,764.5214,792.1515,762.5908
20.0,27.9336,27.6956,43.9253,42.0298,13.5394,70.6249,50.6337,227.1381,217.0815,226.4829,214.2524,782.0067,764.9435,788.8464,764.7411
21.0,28.2038,27.5684,46.8648,41.4413,13.2209,70.1771,49.6456,227.7583,220.5530,227.0996,214.6176,786.6112,779.1291,793.0744,768.7816
22.0,27.7753,27.9015,42.4165,39.4356,13.1283,72.3501,50.7743,226.0260,220.3492,224.6837,213.2898,784.1774,779.0687,785.2943,763.2524
23.0,27.7857,27.9898,43.4697,41.2571,13.3994,72.3217,51.0617,226.1917,219.2681,229.6553,214.7925,791.4964,767.9225,792.9865,763.6491
24.0,27.9924,27.7232,42.3577,38.9928,12.9366,73.8200,50.5763,223.7235,222.0834,227.6432,213.9251,780.2217,774.3828,776.1148,768.5276
25.0,27.8493,27.7596,41.3289,40.9505,12.4053,74.0900,50.0440,225.6392,220.3299,228.2406,214.9602,784.4143,758.3180,780.9833,760.1718
26.0,27.9236,27.7067,40.7895,38.9248,12.6587,73.5867,50.6367,226.4424,220.9037,228.9361,213.0581,787.3458,769.7595,781.9998,751.0707
27.0,28.0666,27.9292,40.7103,41.8807,12.4504,73.7097,50.3335,227.0274,221.2139,228.8786,213.9273,785.8165,769.8012,783.6796,757.0026
28.0,27.6865,27.7435,39.4702,41.1259,12.4013,73.8102,53.5885,227.2251,221.3156,226.4467,215.5750,788.5821,761.3936,776.6148,758.2202
29.0,27.7569,27.9682,41.8677,41.2109,12.4050,75.0483,52.0119,225.3792,217.7584,228.8922,217.3005,779.3930,755.4675,781.0412,754.4177
30.0,27.8257,27.8753,38.5298,37.1642,12.3977,74.0593,51.3512,224.9704,221.5444,228.3815,212.2062,774.4443,755.9247,777.5781,753.2414
31.0,27.7179,27.6681,44.5812,36.4670,12.7861,75.3496,51.5073,225.4438,220.2672,226.6750,214.4293,779.1941,765.3303,779.3163,759.7459
32.0,27.7179,27.8316,39.2972,39.0291,12.5763,75.8586,50.6583,226.4501,218.6503,226.7986,215.9205,775.7772,758.4562,777.2886,755.7853
33.0,27.9399,27.6344,38.6849,40.7586,12.5132,74.9689,49.6671,226.4914,223.8088,227.4170,213.7219,779.3557,762.6914,771.1206,752.6760
34.0,28.0012,27.5738,42.0343,39.1695,12.6531,75.6395,50.6204,228.1965,222.1326,227.0586,214.5160,775.0242,754.9097,771.5622,749.4934
35.0,27.9901,27.7674,40.1565,43.3846,12.5630,74.9329,51.3317,225.0883,222.8488,226.7977,212.1155,775.8588,757.6553,774.3641,754.0765
36.0,28.0993,28.1455,40.5966,38.7926,12.7391,76.7620,50.3831,227.3874,221.2722,228.1834,213.7212,774.5506,758.6098,771.6308,761.6279
37.0,27.8334,27.7827,41.8622,37.5333,12.6270,76.1006,50.5624,224.7796,224.0573,225.4825,215.8032,778.5333,761.7390,779.4901,745.3426
38.0,28.0982,27.7334,42.5753,37.4095,12.9669,77.4002,51.6563,227.0079,224.6276,227.2115,212.2241,771.8552,763.4425,784.9574,751.1649
39.0,27.8493,27.8978,39.1493,40.4491,12.7915,75.8001,48.7052,225.7959,223.8492,228.6821,214.0333,772.3488,761.4329,784.6502,752.0402
40.0,27.6694,28.1468,40.7704,40.1790,12.6506,75.3856,50.4964,224.9751,223.0601,225.5651,214.1084,769.1166,754.7613,770.9991,752.8444
41.0,28.0492,27.8412,42.4947,40.8788,12.5510,79.5354,48.2001,225.6148,222.4234,227.0454,213.9442,774.7882,756.3349,769.5904,748.4933
42.0,27.8629,27.9905,44.1305,42.5933,11.9838,75.9850,50.3150,223.6297,221.0253,227.1064,213.2459,767.0772,759.7513,777.7569,749.8302
43.0,27.9609,27.7621,40.2951,36.9521,12.4395,77.9144,49.2730,225.1839,225.1274,227.4109,212.2976,782.7203,762.4613,774.5951,745.1991
44.0,28.1809,27.8231,40.2010,39.8749,12.2331,78.3618,53.6804,223.5602,224.7849,227.1763,213.0298,775.6324,760.2296,775.3265,742.7371
45.0,27.7517,27.6919,42.2957,37.1866,12.3682,79.3633,50.6748,223.1654,223.3185,227.2232,213.1228,767.0199,761.3012,774.8588,755.6314
46.0,27.8137,27.9901,40.0899,37.9473,13.0958,79.2350,50.5569,225.2186,224.3076,228.8940,213.6230,772.0591,753.2791,776.1814,757.5940
47.0,27.7998,27.8931,42.7352,38.1143,12.6721,78.7828,49.1571,225.3873,223.6643,225.5595,213.1564,774.6763,756.1925,775.9903,754.2143
48.0,27.9151,27.7105,39.5802,40.3706,12.7337,78.6541,50.8240,223.5883,225.3398,227.9175,212.9846,767.7685,755.9287,769.5033,756.3981
49.0,27.9720,27.9740,41.7143,39.0988,12.8535,79.6281,49.5909,226.2094,224.1745,229.7513,212.8129,770.1601,762.5168,786.1005,756.1773
50.0,28.1488,27.7321,40.7983,42.1760,12.0074,79.6818,50.2009,225.3590,225.0410,228.2142,213.2879,774.5229,757.0897,776.0842,756.6228
51.0,28.1927,27.9224,39.5183,39.1191,12.2922,80.2912,49.1834,225.2357,224.6218,224.9489,212.9621,772.8155,750.9745,778.5139,748.8485
52.0,27.9182,27.8935,41.8949,40.8305,12.5479,80.0047,52.4880,225.3749,224.5388,228.7398,214.1848,779.1107,765.3335,770.8032,748.7151
53.0,27.6850,27.6803,40.7692,36.5143,12.2821,80.7910,49.6973,224.1221,225.2049,227.0537,213.2072,777.1425,746.9272,773.3302,755.0534
54.0,28.0103,27.6279,41.6637,39.4645,12.9195,81.0270,50.3750,224.9241,224.5400,227.4926,215.6567,768.2878,764.0119,775.4783,741.7046
55.0,27.9417,27.7418,43.5614,39.0463,12.6771,81.0823,50.0807,223.5718,225.2219,228.2734,210.4232,777.1435,758.4335,777.6545,742.3476
56.0,27.9459,27.5420,40.4649,38.2742,12.5767,81.6204,50.6856,224.5910,227.0114,227.6161,215.0354,777.3759,759.2831,771.1729,748.0097
57.0,28.1709,28.0554,41.5876,39.5100,12.5151,80.2223,50.1156,225.1954,226.4868,226.2577,213.4436,777.8947,759.1441,768.3084,753.7947
58.0,27.8927,27.9162,41.0192,39.2816,13.2259,81.5056,49.4584,227.0430,226.0785,226.9643,213.8042,763.6076,766.7060,776.9262,750.6020
59.0,28.0069,27.9968,41.0201,38.2338,12.4743,81.5272,50.2475,224.8611,229.4624,229.7725,212.5867,777.3700,768.7306,768.8913,751.1948
60.0,27.8077,28.0046,40.9514,41.3538,12.6405,80.9870,50.5039,226.0260,224.1609,227.3110,214.6477,778.4771,765.6617,781.6046,742.6557
61.0,27.7653,27.5258,39.0753,38.9327,12.4704,82.6104,49.3344,225.9345,227.5595,226.2702,213.8557,770.2875,751.8940,777.2963,751.1633
62.0,28.0495,27.8733,40.6951,42.0024,12.8435,81.7213,49.5534,225.9843,225.5267,226.9424,211.9644,772.9476,757.4195,771.3549,745.0789
63.0,27.9985,27.8321,44.6635,40.5747,12.1583,81.7796,47.9676,223.9631,227.3394,228.2144,214.2891,769.4309,763.6512,779.9154,760.6083
64.0,28.1815,28.1050,41.6297,41.3046,12.7250,81.3020,49.3313,226.5761,225.6520,227.0768,213.3933,770.6018,765.5501,779.7347,752.9988
65.0,27.6825,27.9063,41.4177,39.4563,12.4720,83.0341,50.3950,226.0400,227.7255,230.6427,213.4397,774.0767,754.7818,780.3684,746.7802
66.0,28.1589,27.6485,41.3290,41.4678,12.7012,82.3423,49.8710,223.0944,227.0241,226.3054,210.9699,771.1978,756.1002,784.5058,753.4149
67.0,27.9300,27.7160,42.3851,39.1784,12.6899,83.7493,48.9904,224.1084,229.7104,227.1874,214.0097,773.2326,772.8484,769.0996,757.1095
68.0,27.8338,27.8294,39.7669,37.7052,12.7124,82.5833,49.1239,222.2034,226.9090,228.7283,214.3190,770.0552,775.7131,774.6980,747.7940
69.0,28.1341,27.6885,39.6590,39.8587,12.8527,83.1620,48.6659,225.0368,228.8089,229.8367,213.0081,782.5472,767.9067,775.7923,750.8629
70.0,28.0424,27.9486,39.3000,42.5735,12.3795,83.5163,51.0082,223.3053,228.9699,227.7829,212.1913,772.2048,760.1411,777.5481,751.2290
71.0,27.9269,27.9822,40.2923,39.0889,12.7472,83.4213,50.5219,224.7745,228.9401,228.9113,213.2228,769.2868,763.6633,782.1130,745.0715
72.0,27.7939,27.8841,39.5603,41.7053,12.7662,84.1353,51.1588,224.4023,228.8909,228.9889,212.5683,779.1224,772.5748,770.0704,747.9038
73.0,27.9396,27.6887,40.0025,42.3649,12.7286,84.4378,50.4488,224.8004,230.3314,228.5685,214.0151,778.6828,765.9259,770.2726,745.9221
74.0,28.0327,27.6889,40.8724,38.8599,13.0219,84.1556,48.6862,224.3231,229.9401,227.2291,213.3128,768.0282,764.1615,773.0677,756.9373
75.0,28.0962,27.9125,41.2642,41.4358,12.7515,84.5523,48.3451,224.1737,231.5350,227.6601,212.3498,763.6690,766.8040,776.5977,751.9741
76.0,27.9755,27.7362,40.7246,36.9128,12.7629,85.1324,49.2861,223.4077,230.5711,228.2617,211.4482,764.0280,762.5853,772.1833,742.5063
77.0,27.9007,27.8821,43.8801,39.2973,12.5261,84.2646,48.4818,224.4081,230.7563,226.2460,215.1055,776.3143,760.8205,779.4950,750.7156
78.0,27.9094,27.9427,40.3443,37.8868,12.5334,85.3555,46.9799,224.1860,228.7659,226.9973,212.8827,764.9463,767.8106,779.6018,752.8918
79.0,27.8202,27.8432,43.6501,41.6151,12.6584,85.2933,50.1223,225.7544,229.2114,231.0052,211.0250,767.7055,760.6006,774.5724,748.5295
80.0,28.1598,27.8409,40.8377,40.8706,12.6427,84.0373,50.0383,226.0517,232.6124,224.1598,212.3358,773.0155,764.6583,770.4702,752.4683
81.0,27.8169,27.7169,41.6261,40.8295,12.5688,86.2165,47.8569,226.5303,232.5440,227.2032,214.2280,769.4837,774.0341,773.0447,751.0078
82.0,27.9564,28.0141,44.0632,39.2348,12.8052,86.4338,47.4372,225.7009,229.8307,227.7287,214.0233,778.1386,769.0595,772.9245,756.4814
83.0,27.9780,27.9013,41.0112,38.4546,12.4053,85.1608,50.5044,226.9517,234.5450,226.4029,212.9632,770.8838,762.5654,783.4252,756.7833
84.0,27.9346,27.9785,43.6947,39.5248,12.5047,86.3844,48.7026,223.9054,233.5226,229.6202,214.0955,771.8082,759.6650,781.1433,753.3351
85.0,27.9523,27.7143,39.5185,41.4967,12.8236,86.3732,51.1065,222.3069,231.7738,230.3885,214.7307,780.2446,760.7940,766.3615,739.9296
86.0,27.8372,28.1758,40.8205,37.7129,12.5351,86.6865,49.7991,225.4800,234.0776,228.1042,213.0266,776.3271,771.8780,771.7089,756.7318
87.0,27.9528,27.7775,40.9665,37.0638,12.2847,85.8855,50.4012,224.1223,232.1606,228.0144,214.9873,777.6934,765.3847,766.1685,750.6538
88.0,28.1016,27.9682,41.6926,39.0600,12.5504,86.4464,50.1770,221.1043,235.1801,228.5248,212.1466,770.1387,765.5135,773.7026,747.3121
89.0,27.9891,27.9224,40.3448,39.4261,12.8405,87.6251,51.5568,224.1856,231.8626,230.0480,212.5398,776.8987,763.9267,776.3275,748.4953
90.0,27.9483,27.8781,44.4216,39.5644,12.8029,85.1150,51.0476,222.6461,235.4930,229.3891,212.1737,767.4924,768.8393,779.1692,747.5989
91.0,28.1709,27.7760,42.4807,39.3968,12.4866,86.1310,49.5346,224.5208,235.4522,229.1907,213.7460,771.2791,766.4411,770.0269,759.9536
92.0,28.0344,27.8492,42.6997,38.0325,12.4152,88.0759,50.2517,226.6477,231.6806,231.1268,213.8320,779.9684,767.2900,784.2553,750.8799
93.0,28.2413,27.7916,39.7163,40.9515,12.1798,87.1573,50.7664,224.2566,235.6222,229.0872,215.6347,766.6464,772.7537,769.4993,744.7592
94.0,27.8871,27.6150,41.0933,40.0277,12.6695,89.2562,50.3652,225.5734,233.9975,231.4893,211.7484,777.0667,764.1553,769.0224,748.2053
95.0,27.9442,27.9467,39.2542,39.4184,13.1508,88.2710,48.7904,223.6548,233.5785,228.2470,211.1683,774.4020,774.8992,766.5416,756.5835
96.0,28.2280,28.0467,41.1890,39.6321,12.6334,89.4509,50.7868,225.0911,234.4180,229.5708,215.9085,770.5525,764.7619,765.6519,744.0730
97.0,28.1420,28.0555,43.7094,41.5714,12.3677,88.6680,47.8758,224.2945,239.7303,230.9017,211.2301,773.9124,762.5387,783.5401,754.6372
98.0,28.0846,27.6341,41.3054,38.4772,12.5555,88.6192,47.5264,224.7353,239.8800,226.3807,210.3236,766.1314,769.2180,770.0603,747.5321
99.0,27.6306,27.6124,42.5901,38.8761,12.7044,88.3180,47.8568,225.1920,236.9005,225.9389,213.7282,769.2844,763.5769,780.3526,752.1690
100.0,28.0242,28.0120,39.3728,40.9774,12.6328,89.7572,49.9766,226.2529,235.6238,227.5045,211.5383,772.4483,785.0709,774.6322,751.7036
101.0,27.8569,27.8019,42.5342,39.1605,12.4497,87.7573,49.8355,222.3315,240.8459,231.0577,211.5460,774.9726,774.2429,777.9723,753.8998
102.0,27.7821,27.9319,40.3909,40.9244,13.1267,89.8740,46.7124,224.6847,239.3270,229.9348,214.1835,776.2248,772.5459,770.5811,749.6010
103.0,28.0127,27.8014,44.2641,39.1731,12.8200,89.9531,49.4890,224.0050,235.2251,230.5977,210.3750,772.0772,767.4861,783.0576,749.8337
104.0,28.0208,27.9898,41.6636,37.7102,12.4275,90.3902,46.1521,223.4732,239.9011,228.1524,214.3184,768.7294,769.0767,771.1700,746.4427
105.0,27.7080,27.5613,43.0530,38.0935,12.9219,88.8204,48.6552,223.4755,240.6135,228.1751,212.9308,777.9651,757.3102,774.9666,742.8264
106.0,27.8479,27.6109,40.8011,39.3774,12.4820,88.5888,47.5206,223.4326,239.0273,230.7113,211.1855,774.0401,777.0543,767.4902,747.6483
107.0,27.9290,27.8701,40.6122,39.8103,12.4047,90.9845,46.3432,225.6952,240.5163,228.8601,213.7458,770.3802,759.9925,775.9127,751.5420
108.0,28.1214,27.7490,42.0360,41.9266,12.6232,89.0281,47.4986,224.1134,240.4975,227.5274,210.4195,770.2638,773.4874,776.3130,746.0569
109.0,27.9041,27.8175,40.1169,36.7104,13.0288,90.6349,48.6917,228.7051,240.9557,230.0473,212.8805,782.2144,769.1782,767.6849,747.8293
110.0,27.9192,28.0595,41.8834,40.0035,12.5491,90.0861,47.7396,224.3976,240.3020,229.4250,211.7685,767.5581,762.3270,767.8539,745.2024
111.0,27.9141,27.9359,39.7645,39.6298,12.7094,89.8907,50.0291,225.7890,240.8316,229.4524,213.2550,776.4889,776.7231,772.4758,749.1441
112.0,28.1791,27.8755,40.9042,43.3744,12.5174,90.0978,48.1666,223.0596,241.1039,231.1116,212.5092,772.8945,764.8719,770.5957,747.8514
113.0,28.0230,27.7007,43.9288,41.4361,12.3883,90.3543,48.1811,226.0918,242.2973,232.1448,212.8570,771.9569,775.2570,780.3458,738.5393
114.0,27.9718,27.7895,41.5931,38.4981,12.2644,89.2300,51.5317,225.8612,242.5394,231.4809,209.8934,775.4355,779.6941,777.0559,744.0440
115.0,27.7417,27.8778,40.3288,38.3872,12.6310,91.2519,49.9297,223.7274,242.9682,229.6819,212.0611,778.9037,768.5622,770.9437,748.3446
116.0,27.8553,27.8898,42.0953,40.6040,12.2350,91.2484,50.3435,224.8161,244.2338,228.0159,212.1018,774.1200,780.9717,780.8267,749.5211
117.0,27.9115,27.9374,42.7580,38.4323,12.1111,89.7509,49.1013,228.0562,242.9244,227.7635,209.6577,775.9925,771.9652,770.1128,753.6059
118.0,28.2224,27.8676,40.6186,39.2404,12.6886,89.7937,48.3675,223.8097,242.6567,229.7238,212.4074,777.5447,782.3524,776.1190,758.0563
119.0,28.0570,27.9345,42.7041,39.7291,12.4944,92.4516,48.5148,223.3291,244.4997,230.8743,214.9394,769.8259,773.4687,778.6841,747.5384
120.0,27.8343,27.8360,41.0901,39.1320,12.2222,90.5348,48.7751,222.9894,244.0795,230.4955,212.9677,774.8729,778.5384,777.7289,748.7915
121.0,28.0338,27.9051,40.1078,40.3413,12.8292,90.9125,47.1354,225.8789,243.3476,232.1110,211.6869,770.8778,771.6492,768.6531,752.8427
122.0,27.8809,27.8457,40.6272,39.5968,13.0491,91.9438,46.5773,221.7796,241.2020,230.9269,212.5568,763.2586,781.8542,777.5461,754.2179
123.0,27.9946,27.8500,40.2510,36.8780,13.3822,93.0485,49.0825,226.9846,245.9187,227.5812,213.4843,763.0713,770.2131,779.6219,749.9111
124.0,27.9096,28.0146,38.0665,38.8909,12.7821,91.3446,49.1062,225.5330,243.1205,231.9895,212.1031,779.6926,778.4838,769.3488,743.5841
125.0,28.0830,27.9678,39.9904,38.8017,12.4006,91.8427,49.8571,225.3839,243.7033,228.0161,210.1046,768.0292,778.5424,778.3476,752.5879
126.0,28.1497,27.9362,40.0377,39.3499,12.7327,90.7726,47.0355,223.3753,245.3079,228.1767,211.8022,765.7710,772.8806,780.3243,740.1644
