timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.8307,27.9514,43.3287,38.7274,12.7835,66.1705,52.4639,221.8990,216.4940,228.2647,214.5499,773.4361,759.6577,780.5076,746.9239
1.0,27.7762,27.9467,42.3295,42.1871,12.2660,65.7408,51.7636,223.6184,218.0027,224.6154,211.3626,770.9733,752.6138,783.2320,743.2041
2.0,27.6793,27.7063,42.3172,42.2847,12.9723,66.8416,50.2310,224.9030,218.0654,224.6381,212.8193,778.1572,752.9973,775.2948,753.1215
3.0,28.1931,27.8317,43.3918,37.6289,13.0192,65.5567,49.9527,223.6429,215.1222,227.5130,214.6629,772.2186,755.7803,776.9437,754.5515
4.0,28.0899,27.7373,41.9205,40.4613,12.8867,66.3360,51.1858,225.5822,215.0364,228.0137,212.7619,770.8402,759.3068,777.6704,759.0258
5.0,27.8751,27.6740,39.8826,40.4621,12.7606,67.3577,51.4111,226.1549,216.0613,228.5289,214.0017,781.4303,750.5368,775.5471,761.9404
6.0,27.8639,27.8297,43.7578,40.8983,13.5521,68.0033,49.9731,225.4701,216.5825,224.2136,210.2165,770.5235,757.2524,783.4439,750.4453
7.0,28.0233,28.0936,42.5724,41.9719,13.1222,69.5685,52.5116,225.5173,216.9098,225.1126,213.2426,777.1869,749.4835,769.7730,751.4877
8.0,27.7340,27.9298,40.8767,38.7954,13.0453,68.2987,51.8161,228.3464,215.4094,226.7487,211.4223,776.1936,760.3820,782.4101,750.6265
9.0,27.7899,27.9415,46.2667,41.4660,12.8425,69.0325,51.2718,225.3819,215.1155,226.5676,213.8611,773.6728,759.1293,780.4985,749.6309
10.0,27.7890,27.9910,45.6695,41.4744,12.9520,69.0517,50.0826,223.7022,220.4106,225.9179,210.3723,774.4320,756.6604,776.9498,761.4938
11.0,27.9271,27.9338,45.9348,42.2062,13.4859,68.4380,50.4589,223.9812,217.8935,228.4784,213.3780,781.6294,763.3140,784.8603,760.1758
12.0,27.9013,27.8689,45.7807,41.5095,13.5192,68.2701,49.1651,223.2739,218.7242,227.6919,212.9997,789.4611,768.1835,788.9654,758.1981
13.0,27.8540,27.8595,43.4657,42.2939,13.6941,69.5618,50.6252,226.9504,217.0224,226.7078,213.6893,785.1153,759.3896,785.5400,756.0519
14.0,27.9708,27.9821,46.2675,41.4699,13.7787,70.0148,50.9770,224.4383,221.1678,224.1571,214.4572,796.8652,774.1967,792.9410,756.8893
15.0,27.9494,27.6433,44.5435,44.6286,13.9078,69.9286,50.9295,227.5213,220.0616,226.9001,212.0465,785.6230,771.4253,784.0704,764.8516
16.0,27.7105,28.0214,45.0806,42.5646,13.6092,69.0209,49.1913,225.3743,218.1193,226.3162,212.6666,782.1515,771.5644,789.5016,758.7160
17.0,27.6744,27.9370,44.4702,43.3208,13.3081,70.6538,51.4341,223.2202,218.7902,226.0537,214.8374,789.5106,767.0729,792.0798,759.4741
18.0,27.8539,27.8913,41.8832,42.5548,13.4560,70.8317,50.0415,226.9742,218.0062,228.4567,213.6718,782.9736,769.1054,793.5908,769.8790
19.0,27.8872,27.8626,41.7368,41.4024,13.7419,70.8244,52.8985,225.4094,218.2003,225.1802,214.6211,792.2272,771.1952,792.6882,767.7486
20.0,27.7276,27.8190,45.1704,38.7259,13.0821,71.0431,51.3883,225.4959,220.4782,228.9182,216.9059,786.2241,772.5281,790.5571,768.1617
21.0,27.9946,28.0134,41.1557,41.2710,12.9380,73.1023,50.1390,225.1236,219.4825,227.9693,213.3269,785.9930,775.5349,783.7164,763.0878
22.0,28.2717,27.9609,43.2469,42.4212,13.9065,73.5453,50.3510,226.0499,221.4659,232.2160,216.5282,784.6493,779.1225,787.9130,772.2209
23.0,27.6689,27.8410,41.6732,39.8458,13.4485,71.9157,50.5934,226.6360,219.9960,226.5408,212.4438,788.5652,765.6112,787.6644,765.7430
24.0,28.0612,27.6717,42.9181,40.1276,12.9099,71.3472,50.1856,225.5774,221.1250,229.2015,219.0523,786.2970,765.2405,784.4423,772.6706
25.0,27.9586,28.0539,42.0153,38.8001,13.1218,73.2881,49.7344,226.6807,222.9090,227.4647,214.6291,782.2480,763.0876,787.5701,768.6178
26.0,28.0057,27.9779,40.5288,40.9514,12.5662,72.5565,51.7682,224.7483,220.5987,229.6563,213.2193,780.8626,758.3139,786.7205,757.6337
27.0,27.8169,28.0055,39.1828,40.8180,12.4907,73.5616,50.5910,226.7605,221.1957,228.5719,209.2653,785.9266,762.8593,787.3195,767.8847
28.0,27.9675,27.9932,43.7431,41.2909,12.5986,72.5606,49.6759,225.4422,222.5141,227.9024,211.9550,777.4879,760.7400,783.7400,763.1573
29.0,27.9909,27.9113,42.9815,42.5180,12.7215,74.4245,50.6202,227.9711,220.8392,228.8248,213.8443,769.8453,771.7861,785.3371,760.6860
30.0,27.7880,28.1542,41.0087,41.5945,12.3491,75.5498,51.5256,226.0264,221.6455,227.6057,214.5615,777.2780,757.6605,775.6103,757.0156
31.0,27.9878,27.6080,43.6037,38.6686,13.0051,74.0980,52.3256,226.6270,219.8705,229.3263,216.3649,773.6766,761.0886,779.6061,752.9686
32.0,28.0101,27.7745,42.0659,38.7709,12.6117,75.7611,51.8408,226.0032,221.2893,229.4776,212.3074,781.8218,765.2651,777.1982,752.1512
33.0,27.9155,27.6833,40.3165,40.4794,13.0463,75.3062,51.8373,224.6238,222.7336,227.1400,212.9196,768.8678,764.1203,779.6674,747.3180
34.0,27.8764,27.7977,44.0709,37.8899,12.6791,76.7238,51.7103,225.4931,221.2717,227.9688,211.0349,774.0932,764.0470,773.3948,756.3091
35.0,27.5991,27.9606,38.0788,41.3488,12.7161,76.1039,51.4178,222.9302,222.3670,229.9778,215.0500,762.9349,751.1194,773.7357,747.5056
36.0,28.2287,27.8261,42.2243,39.6404,12.4180,75.7497,51.8776,226.8009,222.8517,226.9629,215.2567,774.8753,755.0281,782.5241,756.4164
37.0,28.0399,27.8373,41.5419,39.0519,12.0409,75.3343,51.6080,226.8872,222.0433,231.6919,213.2451,767.7634,747.4398,777.1558,752.8593
38.0,27.7399,27.8324,40.0889,41.9152,12.6215,76.8610,51.8463,223.6480,221.0988,226.7509,212.2474,770.1697,768.5659,769.3370,744.3206
