timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.6914,28.0387,39.3065,38.4173,12.3973,65.0555,51.5874,223.5370,217.5883,225.6849,213.4577,772.4648,756.1789,773.2013,743.4446
1.0,28.2146,27.7845,39.1091,38.8526,13.3472,64.8483,51.9205,224.8225,217.2480,225.8362,213.4531,764.5719,752.3757,774.6555,749.8934
2.0,28.1080,27.6250,43.0675,36.4291,12.9739,64.9277,52.2141,223.0700,214.8747,226.0484,212.0148,767.4743,759.2542,780.5172,745.0890
3.0,28.0294,27.7284,40.0035,38.7616,12.9293,66.0160,51.3973,223.1928,214.8665,227.8707,216.7925,773.7433,749.8135,771.2924,757.4913
4.0,28.1710,27.4734,43.3102,40.5619,12.4831,65.2279,50.7072,223.8242,214.1742,226.6918,214.3133,772.2275,760.1673,768.3491,755.0646
5.0,27.7260,28.0012,42.8736,37.7709,13.0822,66.3479,52.9628,225.8367,218.7164,225.7276,210.5636,776.9873,762.4066,782.0569,761.2798
6.0,27.9587,27.8931,44.8284,42.6387,13.4399,68.4980,49.2833,225.6144,214.6019,225.3161,213.1673,776.4146,755.6606,789.9394,745.7320
7.0,27.7721,27.8230,43.6694,43.0722,12.5108,68.1882,53.7631,225.1009,218.1141,227.9888,212.0539,778.1288,757.1630,778.9386,753.9560
8.0,27.8382,27.6436,42.1979,41.7944,12.9718,67.9028,51.1708,224.4100,216.6064,225.8807,211.3198,780.7826,746.3771,778.2958,746.4105
9.0,27.6708,27.7706,41.2953,41.5031,13.2085,68.4668,51.0794,225.9598,217.8165,228.7763,211.9810,782.2677,761.0351,787.4610,764.8286
10.0,27.6025,27.7599,42.9404,40.4128,13.1187,69.1087,51.7958,224.9550,217.8329,226.7434,213.9151,777.4118,765.4276,773.2747,762.1121
11.0,28.1116,27.7201,43.9487,40.1699,13.0891,69.0377,51.7079,225.5939,219.2275,227.0409,214.0074,779.8915,769.7063,770.8530,755.2113
12.0,27.7826,27.3239,45.7231,41.6320,13.7232,68.7370,51.0929,225.7805,216.7329,225.6870,212.1269,780.2426,758.6027,791.2473,762.0262
13.0,27.9156,27.3841,44.1745,41.0379,13.7352,69.1667,50.7058,224.4342,220.8107,226.9885,215.6574,778.1224,765.4071,784.2938,749.8851
14.0,28.0789,27.7305,44.7168,40.7220,13.4429,69.6634,48.8537,225.0551,220.8399,226.2054,217.2565,785.6658,770.0615,784.6942,763.4996
15.0,27.9079,27.5820,43.6704,43.1880,13.5333,69.1692,51.1873,225.2841,219.9334,226.9323,215.8322,785.8717,767.5134,789.8264,756.3326
16.0,27.7619,27.6767,43.4838,41.6029,14.2322,70.1786,49.7612,226.3947,215.7416,229.0346,213.7213,791.2077,776.8708,791.6286,761.8675
17.0,27.6005,27.9671,44.0397,44.3662,13.4666,71.2204,52.2815,225.6841,220.1697,225.0795,213.4395,790.8128,768.0554,791.5287,757.6110
18.0,27.7866,27.9720,44.2888,43.5129,12.9116,70.4901,52.5928,221.9595,220.5928,227.7175,213.7824,790.5505,765.4690,774.2560,758.6389
19.0,27.8727,27.8763,44.8742,40.2494,13.7712,72.6525,50.4104,226.4443,220.5371,228.4142,213.6081,790.1198,773.0259,797.2043,762.9370
20.0,27.9519,27.6073,43.3327,40.5285,14.0935,71.6788,50.5142,226.6038,217.4957,227.0572,214.7843,785.4134,768.7587,791.6423,763.8133
21.0,27.8345,27.6774,41.3970,40.5178,13.1013,71.3564,50.0211,224.4621,220.8808,226.9936,214.3490,789.4107,777.1613,788.6569,756.7379
22.0,27.9088,27.9301,41.5604,42.3828,13.3736,71.4009,50.6409,225.9382,221.2306,226.6773,217.1109,788.2149,769.1691,793.0706,762.6736
23.0,28.0923,27.8197,43.7367,40.1671,12.8859,72.7938,49.9631,226.5099,217.6985,229.6775,213.8289,792.0944,765.5838,793.8463,764.3178
24.0,27.8380,27.8134,42.9187,40.9700,13.3464,72.3861,50.2689,229.1758,218.4152,228.8632,213.8979,784.9505,769.9706,787.9484,771.4388
25.0,27.7878,27.7618,44.0192,37.9873,13.0991,73.8573,53.7686,229.4573,221.9837,227.2740,212.5783,784.4814,766.9951,787.5763,762.9763
26.0,27.9924,28.0148,44.9799,38.9281,12.4224,73.1398,52.2449,221.4916,222.9711,228.5362,216.4222,772.5239,762.6117,778.8679,765.6869
27.0,27.8179,27.9169,44.2505,39.1600,13.3441,73.9892,50.4366,224.5895,221.7240,226.9531,211.2731,788.9846,762.3943,781.9539,754.0677
28.0,27.8361,27.5560,42.5717,39.9591,12.4029,75.1562,51.6304,225.6750,220.4284,231.3962,215.2764,784.8526,767.7019,783.3847,764.5591
29.0,28.0713,27.7313,41.4391,42.1958,13.2319,74.8418,49.2868,226.9058,223.3366,225.5722,213.0944,776.8043,755.8929,779.4194,755.4959
30.0,28.1298,27.9096,41.6686,39.3548,11.8371,75.1775,51.6324,225.0553,219.0235,226.4473,212.7709,778.0017,755.2227,784.4273,747.5842
31.0,27.9339,27.8506,41.2259,39.6456,12.5266,75.3198,50.5214,224.9141,220.4878,228.5263,214.2966,780.8775,766.2611,783.3356,754.9539
32.0,27.9142,27.7733,40.7658,42.1654,12.4040,74.4456,52.8438,223.5131,220.8504,227.1581,212.6000,778.9428,763.2810,775.0031,754.3395
33.0,28.0739,27.8123,40.3608,38.1619,13.2119,76.0028,51.3440,227.2775,222.9230,224.8312,212.6116,778.5460,762.4040,788.1293,752.0852
34.0,27.8824,27.9126,43.5847,41.6870,12.6848,77.1162,51.8956,226.9454,221.9107,227.9522,213.9969,779.7798,761.7428,783.6494,753.8751
35.0,28.1539,27.9396,41.3496,39.8423,12.2071,76.7451,52.0407,225.6391,220.9068,229.5174,215.8731,769.8879,756.1448,768.9507,748.4757
