timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.0186,27.8172,39.4885,39.6506,12.7048,64.5063,52.7610,223.1987,214.6716,224.2072,212.4914,778.0584,758.5749,771.1529,758.5515
1.0,27.8513,27.7051,42.8896,40.2478,13.0284,64.2056,53.0541,220.6347,217.7656,223.2750,216.9681,769.0756,754.7059,777.4968,742.5830
2.0,27.9811,27.6670,44.2864,38.5832,12.9903,65.2186,52.3210,225.5628,216.9447,227.8071,212.5222,775.0633,753.1289,783.7844,753.6899
3.0,27.7942,28.2308,41.5503,37.8733,13.1049,65.9650,52.4590,224.8039,215.7261,226.9015,211.9808,770.8660,751.5097,770.2488,755.8721
4.0,27.9983,27.8010,40.0976,39.8932,12.8704,65.1915,53.3472,221.6551,218.1078,223.7900,210.6113,776.5755,763.6976,777.9519,757.6138
5.0,28.0000,27.8988,43.5924,40.2902,12.9392,67.2395,53.3886,225.9298,216.5324,224.8342,216.6396,778.7069,758.8086,773.3371,751.1721
6.0,27.7462,27.5956,41.2073,40.7580,13.6520,69.1667,51.4924,222.9715,216.9905,224.4931,211.3645,777.4373,763.5886,770.6898,754.9641
7.0,27.6676,27.5918,41.0260,39.6099,12.8016,66.4195,51.2544,225.1116,220.8025,226.9595,215.2322,777.5657,760.1468,778.2568,756.3714
8.0,28.1295,27.3668,41.3914,41.5491,12.5371,67.5343,53.7026,223.4006,218.2380,228.6117,210.7310,772.1422,753.3382,780.8762,749.9513
9.0,27.7318,27.7924,42.3683,42.2340,13.0090,67.9500,50.5257,223.6633,216.9808,227.1044,215.2824,773.4581,764.9831,780.4810,754.5058
10.0,27.9511,27.8817,40.9345,39.5586,13.6812,68.0285,52.1287,224.3634,216.1813,227.7780,215.1323,783.2655,758.7510,787.7551,759.3620
11.0,27.9023,27.8596,42.7885,43.9065,13.6029,69.5744,51.9521,222.5142,217.1019,226.5070,212.7525,778.1220,766.6621,780.1168,755.1939
12.0,27.6110,27.6683,43.1817,41.3054,13.4573,69.0191,52.8189,226.9498,219.6191,228.5644,214.0235,776.2705,771.1627,786.4353,759.8550
13.0,27.9013,27.9753,41.3745,41.4328,13.8221,69.7087,49.7149,225.0197,219.9728,230.3206,211.7748,783.8526,769.6477,782.6255,755.0650
14.0,27.8503,27.7716,45.0265,44.5155,13.4851,69.4828,51.7980,225.4500,218.8980,224.4583,212.9261,782.0773,767.9096,783.7977,762.7354
15.0,27.6447,27.6278,45.0553,42.1479,13.6715,69.4275,49.4571,223.8254,219.4285,228.4937,215.5351,788.0024,765.2088,794.0672,760.1020
16.0,27.6400,27.8736,44.8246,42.1723,14.2642,70.0821,51.4296,226.4409,220.3744,226.6804,212.9062,790.8550,770.1904,794.4725,751.4503
17.0,27.8203,27.8194,45.5591,41.6705,14.3118,70.9196,50.6195,228.6209,217.9194,229.2799,214.1028,786.6427,762.2235,793.9164,763.9084
18.0,27.6912,27.9114,45.3783,40.7480,13.3753,69.9547,50.4061,225.6079,218.6142,225.6998,215.7261,786.0824,775.5751,794.4975,770.2736
19.0,27.9038,27.7022,44.8700,41.6499,13.1750,71.7399,49.8654,223.9409,219.9699,230.0341,214.6155,788.1391,776.9640,789.0584,767.9941
