timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.8843,27.8324,40.8964,37.3304,12.8690,64.4974,53.1258,223.1879,215.5503,227.6931,211.8413,770.2291,750.0281,773.8021,749.6508
1.0,27.9927,27.8603,41.6125,42.4759,12.6017,63.8617,52.7979,224.9435,215.1230,225.2322,212.6152,769.9089,744.2202,779.1936,745.9827
2.0,27.8950,28.0992,41.2525,37.9186,12.6892,65.9358,51.3591,223.4692,215.1801,226.2481,211.7339,767.1752,756.8249,773.8944,748.3883
3.0,27.9371,27.7789,41.2611,41.1534,13.1531,64.4320,52.1044,224.1765,216.0913,228.4470,211.7486,771.5636,756.3586,777.7930,752.3156
4.0,28.1098,27.7626,41.1638,40.8542,13.2242,67.0636,52.2982,225.7966,215.5967,225.5967,210.9786,766.1057,756.2489,775.6956,763.8480
5.0,27.9793,27.6167,43.4816,38.9186,13.3683,66.5208,51.3752,224.9184,219.1090,224.7735,213.2135,777.8317,751.0623,779.2158,758.5712
6.0,27.7633,27.8261,42.7527,42.0390,13.1373,67.7535,51.4266,225.2382,216.6511,227.1259,212.1345,772.8946,756.4235,772.5165,747.5924
7.0,27.6477,27.8000,43.4941,38.4872,13.1767,67.0085,50.4603,220.6448,216.9839,226.0369,210.0134,777.6697,757.6159,783.6561,762.1152
8.0,27.8317,27.5332,44.8002,40.9848,13.6139,67.8817,51.1024,225.2077,216.6652,224.3894,208.7226,773.7667,758.3367,786.2315,764.6040
9.0,27.9909,27.5512,42.2632,41.6232,13.6306,66.7172,50.4386,224.6868,217.7249,226.2533,211.0475,785.2687,754.5905,781.6939,753.3532
10.0,27.8547,27.7043,42.7209,40.7607,13.2729,67.5695,52.9496,222.6988,216.1895,225.6450,213.4958,781.2366,764.9581,777.9323,753.2347
11.0,27.9381,27.6474,42.5692,42.2378,13.2809,69.8205,49.6889,226.5398,216.8708,226.1875,210.9613,781.3048,763.5939,786.0713,756.2983
12.0,27.8067,27.8589,42.4107,43.0848,13.2572,68.9118,49.8354,224.5511,217.1502,227.8660,213.0280,780.7528,763.5214,786.7124,764.0056
