timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.7767,27.8998,42.3074,37.3023,12.5533,64.7074,51.3903,224.6099,215.0415,225.0490,213.5307,761.3354,743.5511,774.4564,746.6626
1.0,27.9381,27.7192,43.4535,38.5389,12.6974,64.5718,54.8381,222.5520,215.4462,227.8452,211.2971,778.2505,751.7180,778.4601,746.2222
2.0,28.0124,28.0573,39.7885,40.6788,12.8810,65.8022,52.4492,226.1817,218.5455,225.8941,213.6471,774.8296,754.4926,768.5504,749.5231
3.0,27.9938,27.8585,42.4463,42.1282,12.2481,66.6429,51.1436,223.3105,217.0532,228.2435,214.3048,776.6722,760.1084,773.2211,756.3625
4.0,28.0057,27.9560,40.0072,39.2179,12.4182,66.9568,51.9936,222.6238,216.4300,227.5065,212.0641,780.3731,753.3237,771.3470,750.4001
5.0,27.7974,27.8401,44.8078,37.3202,13.0373,66.6482,52.6348,225.7748,217.9040,226.5253,212.9265,772.4280,754.9325,772.0512,746.1610
6.0,27.8500,28.2208,44.2453,41.9605,12.6308,65.5302,50.2535,225.6513,217.2404,227.3918,212.3824,770.0059,754.7708,779.2395,750.8581
7.0,27.8588,27.7139,38.7248,40.6457,12.8564,67.0862,52.2634,224.6199,217.8990,228.1601,212.5201,778.9231,757.0324,775.8966,757.4182
8.0,27.8300,27.6287,43.0005,42.5693,12.7943,67.7947,50.9109,223.5286,217.0625,225.6892,213.0902,774.2195,761.6262,779.9398,755.5908
9.0,27.8896,27.8922,40.6897,41.6410,13.1951,68.1258,49.5216,224.1917,216.7659,227.0004,215.1155,777.8156,761.9628,783.3086,761.6285
10.0,27.7993,27.8440,45.4952,40.4141,14.0890,68.8491,52.1115,225.2106,218.9591,226.1153,212.2127,780.5155,767.8402,780.8214,757.7872
11.0,28.2346,27.8187,42.5159,41.2924,13.3343,68.9207,51.6237,223.9487,218.3717,225.3902,212.0428,789.4744,764.6778,772.2396,773.4496
12.0,27.9139,27.7976,40.8611,41.6195,13.1377,67.7424,52.3456,224.3198,217.9519,227.9446,212.9991,771.7340,757.6112,780.0281,753.5598
13.0,27.7739,27.8571,44.1996,43.7995,13.7218,69.1251,51.1221,225.3706,218.6067,226.7436,215.0446,784.9286,765.9807,794.7541,764.9733
14.0,28.1203,27.8186,43.7189,42.2771,13.6318,70.0448,51.8323,226.8711,218.6023,227.3860,215.2083,788.6040,765.3448,786.7623,754.1704
15.0,27.7043,27.7789,42.8444,42.5850,13.8232,69.5772,49.1938,224.3780,219.1445,224.9430,213.8481,780.1371,762.3333,790.2933,760.6157
16.0,28.0696,27.8167,44.4921,42.7395,13.4273,71.2943,48.6835,226.6708,219.1133,227.3301,213.5448,787.2858,768.9842,795.0537,764.5614
17.0,27.9140,27.8361,42.4038,40.8161,13.5245,71.0048,51.1831,224.1485,220.9416,228.2539,215.6044,789.1406,775.9196,784.2289,766.0210
18.0,27.7226,27.8621,42.3004,42.2313,13.5265,71.1069,50.8450,225.2596,221.5562,229.1374,213.4142,796.5560,772.7877,792.4696,764.2874
19.0,27.9104,27.6876,40.5331,41.1938,13.3685,70.1836,51.4559,224.7691,220.5151,227.2095,214.3343,784.7204,767.1572,779.5591,767.4019
20.0,28.1084,27.9278,44.2222,39.7464,13.3756,71.2205,51.3003,227.0340,217.0595,231.5957,214.8881,772.7929,774.8913,786.3714,770.2938
21.0,27.9981,27.8827,43.4893,39.5840,13.4576,72.5964,50.4153,227.2126,219.7505,226.4194,215.0846,783.9883,774.6731,791.5506,758.6565
22.0,28.0011,27.7981,42.0043,38.7952,13.0794,72.5746,50.1213,223.6393,220.0623,230.6152,213.0820,787.8515,775.3034,788.4350,756.0130
23.0,27.8806,28.1828,42.2196,41.3590,13.2365,71.8817,51.7979,227.3243,217.9619,227.4389,212.1110,790.1360,767.6563,790.6260,755.0739
24.0,28.0793,27.7516,42.1109,41.2125,13.0369,73.9087,51.8463,224.6109,222.5805,226.8986,215.2986,790.6609,771.9715,791.7206,767.1496
25.0,27.9595,27.8255,40.3226,39.7457,12.7181,72.0514,49.6728,222.7924,221.8718,226.3134,214.0145,774.2132,771.6424,790.4566,754.0714
