timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.1787,27.9024,39.6888,42.0270,12.7279,63.7183,52.6045,224.2743,215.6837,225.3780,210.8285,772.4407,752.4312,774.2531,755.9930
1.0,27.9266,27.9017,42.7559,39.9013,12.7540,65.9339,52.9152,227.8450,217.4361,224.6504,213.4007,776.2614,749.5654,776.3029,746.8062
2.0,27.8577,27.9297,40.5541,41.7033,12.9053,65.5514,52.4432,226.9648,217.3122,224.1377,213.0115,779.2346,752.8119,782.0997,749.5801
3.0,28.1638,27.9723,39.2298,42.1571,12.9877,65.8615,52.1260,223.9903,217.3544,224.2598,211.9593,780.6780,755.6544,773.0649,748.5132
4.0,27.7810,27.7810,38.1241,37.8675,12.9133,65.3760,51.4933,225.3478,218.3626,223.6249,213.4400,778.0516,762.8949,780.9298,738.8540
5.0,27.9054,28.0953,42.1219,41.4326,13.2535,65.7517,51.8231,225.2266,218.1310,225.9158,214.0088,776.2181,761.4039,778.2536,747.5600
6.0,27.9007,27.9417,41.3860,38.6137,12.7744,67.4431,51.0107,224.8926,216.9257,226.2243,212.3727,781.4469,760.0806,776.2932,750.6994
7.0,27.8736,27.8521,42.8669,42.1820,12.9417,66.3325,52.8810,223.4107,217.1281,227.1523,213.7938,776.4090,758.6477,768.2680,756.0997
8.0,27.9012,27.5112,44.9588,40.3278,12.8332,68.9534,51.5226,225.8063,218.2668,227.3777,215.0649,782.8780,759.8258,780.2871,754.2391
9.0,27.8934,27.7140,42.1505,42.7228,13.4797,68.2947,50.2392,224.6843,217.8496,229.3210,211.4317,773.7892,759.9633,783.2212,757.0405
10.0,27.9930,27.9754,42.2767,43.5573,14.0772,68.5909,51.8430,223.7214,216.7445,226.9649,213.7821,773.3818,759.5621,788.1058,760.6734
11.0,27.7568,27.7393,43.9757,42.3116,13.8202,69.0421,52.5805,223.9969,219.1930,226.7733,212.0923,779.5132,767.3190,779.9904,753.4719
12.0,28.0724,27.6570,44.3371,44.2483,13.4599,67.8689,49.8838,228.8291,217.3505,226.6890,213.1043,779.1405,754.8122,780.1912,762.7959
13.0,27.5414,27.6775,45.4354,41.3099,13.7706,69.7545,51.4449,227.7975,218.1837,229.2629,215.4118,776.8294,756.1336,787.5402,754.7134
14.0,27.8005,27.7378,45.1456,41.0953,13.7260,69.1358,51.2884,229.1471,217.7310,226.8523,214.9643,786.4348,769.2333,786.2959,774.7208
15.0,27.8000,27.9121,44.6636,41.2537,14.3144,70.7099,50.9726,223.3371,218.5236,226.4780,212.4567,776.4265,772.9508,776.0658,765.3177
16.0,28.0698,28.0318,43.0187,42.7272,14.3817,70.7341,49.8898,225.3939,216.8458,227.5711,214.9298,787.5666,759.3552,795.6868,768.6061
17.0,27.7194,27.8035,47.2140,39.8000,13.7863,70.8464,50.4279,224.3497,220.5240,228.9265,211.7012,791.5305,773.5368,795.8210,759.2792
18.0,27.9200,27.8930,43.9977,41.5304,13.7038,71.6560,51.9916,226.1134,219.5747,227.0995,213.0128,780.6510,766.1386,783.6838,766.7398
19.0,27.5798,27.6516,43.9775,43.1142,13.5746,71.2493,49.7647,227.1183,219.3649,227.3493,214.2237,791.2396,773.3405,781.6683,759.8152
20.0,28.2352,27.7761,42.7358,38.4872,13.2062,71.2089,50.3485,225.8136,219.1734,228.7440,215.0815,779.5136,766.4697,794.2987,771.2632
21.0,27.7789,27.7068,39.5138,43.5067,13.6486,71.4607,51.1096,225.9064,218.9548,230.6635,213.5476,797.1695,769.0154,776.5933,767.3494
22.0,27.9764,28.0196,42.4676,40.3888,13.1390,72.8535,51.3868,226.3824,220.5368,227.9591,212.8310,789.1990,764.1060,792.5563,760.9590
23.0,27.7147,27.8218,43.9746,40.4903,13.0546,72.0550,51.6588,226.5554,220.8601,227.2934,217.2833,789.1157,771.7667,785.7689,768.5690
24.0,27.7192,27.6217,44.3534,38.0924,12.8056,71.8519,51.9437,227.6294,220.1616,230.3175,214.9046,775.3968,762.6563,779.7685,766.0705
25.0,27.9059,27.8439,41.6689,38.4952,13.1774,73.4174,51.3498,225.8316,222.1358,229.7742,215.7238,775.6661,771.8592,777.1895,757.9614
26.0,28.1211,27.9025,44.5898,39.1866,12.9414,72.3523,49.7903,225.1517,223.2337,227.0234,212.1242,779.1794,759.8063,787.1835,760.3197
27.0,27.9366,27.6905,40.6882,40.7229,12.5027,73.9748,51.0831,227.3652,219.4603,228.4452,216.4952,784.1366,764.9501,794.9930,745.8933
28.0,27.6671,27.8307,42.8873,40.1746,12.3826,74.0706,50.4601,226.2909,221.4179,225.0413,214.8529,783.2253,754.9997,774.6242,761.2191
29.0,28.1961,27.7514,41.9691,39.5564,12.7192,72.5252,50.6639,224.1446,221.3909,227.8280,213.2007,774.8668,764.5334,794.5374,766.5095
30.0,27.9601,27.8828,40.9153,38.0445,13.0804,75.4406,48.6194,226.5298,219.6389,228.8034,212.0151,780.1701,759.8488,779.6578,755.8646
31.0,27.6028,27.7559,42.2554,39.7154,12.2996,75.0628,51.8195,227.8996,217.8391,224.8163,214.5071,776.8975,757.1467,776.4809,754.8644
32.0,28.1896,27.8583,43.0708,38.6638,12.5819,74.4057,51.8891,225.7980,221.4938,227.1625,215.9555,778.0686,763.9583,777.0425,751.8193
33.0,28.3330,27.8633,40.6384,39.8670,12.5276,75.6454,51.0007,227.2889,223.3837,229.7552,215.8456,767.6286,760.7458,777.3644,750.3080
34.0,27.8165,27.8666,41.3842,37.7615,12.5378,75.6191,51.6254,225.5845,221.2095,228.2595,215.4652,770.1270,761.4967,779.5398,757.2402
35.0,27.9422,27.7076,42.4771,38.7439,12.5269,74.9480,50.9770,226.5953,219.9117,228.7341,213.6437,772.9312,761.6920,778.0346,761.7225
36.0,27.7444,27.7418,40.2946,39.3024,12.4019,75.2146,52.8598,227.0162,223.5098,227.5259,211.4966,778.6122,759.1818,781.8450,750.0550
37.0,27.8653,27.6199,40.6253,41.4420,12.2967,76.3960,48.5441,224.2390,222.9856,225.5450,214.7658,771.6349,758.1572,784.3909,751.9855
38.0,28.0581,27.9494,42.3206,38.6186,12.3539,77.7441,50.4179,224.6142,221.9808,228.3627,214.0301,776.9260,759.1259,763.4794,753.7069
39.0,27.9328,27.6654,42.4432,39.7694,12.0420,76.1065,50.8037,225.3483,222.1233,228.1082,217.1060,771.7920,757.3383,771.7486,758.1602
40.0,27.8229,27.9071,42.3205,38.4140,12.7882,77.7089,51.7952,226.7101,219.4744,225.7791,213.3979,771.5756,761.1088,771.9157,756.5279
41.0,27.8155,28.0877,43.5923,39.6446,12.7092,77.3476,49.8076,225.6696,221.3883,230.5440,213.3157,772.6528,763.5940,770.6348,752.4068
42.0,27.8070,28.1499,39.1364,37.1697,12.9446,78.6636,49.9494,225.8713,225.3942,230.1591,214.4557,775.9934,761.0967,770.6445,747.1106
43.0,27.9981,28.0104,39.9785,40.7914,12.9252,77.9709,50.1356,225.7979,224.6643,227.6997,211.9067,772.8073,764.7877,778.7996,752.1180
44.0,27.8688,27.8740,41.2335,38.6538,12.4974,78.0196,52.4705,225.4645,224.3207,226.8091,210.9566,784.6995,753.9473,782.3054,760.9492
45.0,28.0978,27.9518,39.6629,37.2398,12.7529,76.9625,50.4235,225.5088,221.2994,225.2594,214.5538,768.4710,757.7758,783.4557,757.4817
46.0,27.9521,27.9520,43.2669,38.8931,12.5206,79.4872,48.1615,224.1758,223.3872,226.4458,215.8277,774.2971,757.8245,779.8668,755.2345
47.0,28.0877,27.7611,42.7541,38.1160,12.4803,78.2482,51.6742,223.5362,224.6343,229.4909,214.5241,773.1564,754.7428,776.8799,752.7904
48.0,27.7118,27.7935,42.9024,37.5450,12.5904,76.9307,49.4250,225.4654,221.5210,230.7951,216.4763,765.2267,749.6873,771.9147,744.7912
49.0,27.8323,27.9663,40.4897,40.7422,12.6154,79.1798,50.0493,223.3300,221.4223,226.6255,215.2784,775.9857,761.8204,775.1743,754.0298
50.0,28.1083,27.8477,41.7709,39.4973,12.5150,79.7139,50.0326,223.4626,224.4195,228.8936,213.9538,768.8511,763.2736,793.6120,740.6382
51.0,28.0643,27.8975,38.5472,37.2798,12.2777,80.0257,49.2744,224.8984,223.9159,225.8584,211.5397,777.8299,752.8572,774.6972,743.0100
52.0,27.8647,27.5801,41.9080,40.5916,12.2237,79.3463,51.4316,221.3269,226.3259,228.2717,213.4771,767.0750,757.2711,780.7725,743.4225
53.0,28.0832,27.9269,43.4559,38.8198,12.8194,81.8175,50.0781,226.3394,221.5302,229.2780,212.4798,769.8133,766.3785,766.7173,742.3858
54.0,28.0159,27.9901,43.1705,36.3489,11.9794,79.6003,52.9473,222.9153,225.4682,227.5549,212.3110,769.1497,767.7986,781.6453,746.0136
55.0,27.9144,27.8881,40.7879,37.0893,12.5416,78.8313,51.5282,224.2882,223.9123,228.2066,212.3746,781.4876,766.9964,777.2407,736.9265
56.0,27.7734,27.8314,39.5666,36.8936,12.5114,81.6604,49.2783,223.1016,224.8980,228.0073,213.9575,782.0778,758.5770,776.2355,754.7342
57.0,27.9598,27.7326,40.5581,38.8405,12.4086,80.8895,52.7068,223.7902,228.1367,227.7207,215.4516,771.7136,770.8384,774.7525,757.3300
58.0,27.9002,27.9554,43.0639,37.4482,12.4609,82.7129,50.0860,224.3417,227.9359,225.5449,214.2076,767.8800,764.6692,773.6743,745.3159
59.0,27.8419,27.8409,40.0521,40.9797,12.5069,81.7595,50.0768,225.8272,225.3658,224.9588,214.7274,774.6027,757.8815,778.3549,742.7782
60.0,28.0034,27.7784,37.0725,39.1165,11.9679,83.3767,49.8223,225.1931,224.5244,225.8940,215.1134,779.2838,758.0337,781.7580,751.6067
61.0,27.8317,27.5938,39.3651,37.2469,12.2900,82.0463,50.0268,226.6652,227.9002,224.9539,214.7371,767.1509,762.9306,771.6900,748.0923
62.0,28.0519,27.9121,40.0660,40.0292,12.2197,83.2624,51.4471,223.3959,226.8510,228.4012,215.0456,774.4730,762.8212,772.8027,751.1005
63.0,27.8626,27.7882,41.5956,41.6311,12.6944,80.9752,47.6643,225.6284,228.5493,225.3705,211.5920,780.3108,771.2356,768.8902,748.9535
64.0,27.8536,27.6756,40.8387,41.9246,12.5373,84.2781,49.2609,224.1277,226.1798,225.9802,215.5810,769.1350,757.5693,774.9460,748.9115
