timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.8664,28.0179,42.5206,40.2676,12.0059,63.9473,49.8806,222.6721,215.8201,224.3794,212.5070,774.1946,751.2020,781.5044,743.7403
1.0,28.2032,27.6652,43.7842,39.2018,12.5856,62.1760,52.5202,223.9223,212.4141,225.9031,209.8523,776.7446,746.4670,770.0409,752.2986
2.0,27.9684,28.0878,43.9641,40.9898,12.7328,65.1812,52.1830,224.5062,215.6323,226.8522,213.4616,775.6066,754.0086,782.6921,747.9461
3.0,28.1808,27.6599,46.1931,41.5716,12.7475,64.3057,50.5278,224.5083,216.6696,224.1861,213.5078,772.9619,753.0801,775.0005,744.0384
4.0,27.9871,27.9725,42.6522,43.9249,12.7810,66.3285,51.5732,225.9205,216.3767,225.0690,213.4649,779.8793,746.4173,773.8238,744.2079
5.0,27.9949,27.8817,40.7568,39.8980,13.0496,67.0803,52.8666,222.2616,213.3285,226.8424,215.5324,772.5164,749.8675,770.0155,748.9759
6.0,27.8409,27.7023,42.2497,41.2672,12.6630,67.8033,50.7852,225.2882,212.5432,226.6369,210.9966,770.1770,750.4645,784.0622,748.7602
7.0,27.8526,28.0064,41.0639,40.6958,12.9272,66.6553,50.8012,226.0580,214.3528,225.3489,212.7760,769.4181,758.2718,775.5316,750.1659
8.0,27.8850,27.7026,40.5524,39.0605,13.1226,67.8950,50.6871,224.4591,214.1740,225.8710,212.0628,770.9821,763.3984,773.0365,744.6928
9.0,27.8334,27.8977,43.8493,41.6086,12.8929,68.9803,52.0512,223.2119,214.9543,223.1964,211.9115,782.8386,756.4527,780.0608,760.7022
10.0,27.8448,27.9082,41.6723,39.0427,13.4730,69.0505,50.8775,222.9178,216.2055,225.3843,214.9207,775.8726,758.1788,779.6011,755.7192
11.0,27.9703,27.8104,43.7554,42.4169,12.6448,67.7707,49.6919,223.7178,218.1690,225.5586,212.2834,779.0664,767.1835,774.6884,764.9335
12.0,27.9046,27.9339,46.7041,42.5956,13.3968,68.0794,50.3404,222.9935,216.1874,226.1478,215.1825,782.7456,761.6139,780.5939,754.8921
13.0,27.9943,27.7092,44.6705,42.2277,13.8861,69.9063,51.6524,224.7393,214.9329,225.1272,213.0667,791.4465,755.5214,782.1644,753.7816
14.0,27.9976,27.6201,45.0449,42.2284,14.1172,68.9499,50.3346,228.7361,214.3409,228.3325,211.9403,783.2343,765.7449,784.4783,769.5833
15.0,27.9050,27.8848,41.6407,43.5875,13.5261,70.5765,51.4177,227.3055,218.1023,226.3817,216.1274,784.3582,770.5532,789.3770,765.6268
16.0,27.9754,27.7768,42.5331,41.4966,13.8994,69.4689,51.7921,227.0622,213.8103,225.1692,214.9925,780.0958,763.0511,783.1715,758.4192
17.0,27.7640,27.8329,43.7408,41.2252,13.5413,69.5182,50.4615,227.1053,216.1159,226.5268,212.0139,794.1972,752.7414,789.5854,764.0619
18.0,27.7127,28.0091,43.5641,39.7425,13.3629,70.4792,51.7394,224.1722,215.2110,227.0595,213.0160,790.5992,759.2565,793.1484,767.7412
19.0,27.9506,27.6846,42.3438,43.4540,13.8445,73.0329,50.2257,225.0167,216.8415,226.3387,212.0249,778.9810,761.4301,792.6058,765.4520
20.0,28.0102,27.7860,43.7315,41.5737,13.4626,71.9970,52.0797,225.8105,215.1605,226.8030,215.5959,786.0343,763.8866,782.8336,766.8532
21.0,27.8658,27.6459,43.3218,41.4846,13.7360,72.1085,52.3977,226.4024,213.9702,225.0297,214.6285,784.0216,767.1330,788.2471,758.9224
22.0,27.8408,27.6809,42.7519,37.8510,12.9388,73.5989,51.1632,228.6855,214.6380,227.3133,213.1066,792.8856,773.5700,776.7615,759.2715
23.0,27.8251,27.8296,43.5323,40.1742,12.7558,71.7868,53.2213,223.6576,216.0514,228.4356,213.0045,784.5585,759.5170,794.2542,765.0245
24.0,27.8133,27.8482,42.6449,38.2410,13.0869,73.6083,51.2983,228.5061,215.6271,227.9414,212.8687,786.2219,770.1516,788.9008,762.0725
25.0,27.7034,27.8449,43.9676,42.9015,12.9855,73.9212,51.0070,227.4078,216.0204,229.9178,213.2273,788.5387,762.8103,783.9205,757.7490
26.0,27.8097,27.9982,41.1887,38.8969,13.1282,72.8985,52.1773,225.0164,215.4370,227.4344,213.5265,777.0345,765.3061,785.7964,761.1481
27.0,27.9205,27.9150,39.1917,38.1623,12.7628,73.3639,51.9829,225.0437,215.3552,228.3631,211.8782,788.0003,761.4130,782.0752,764.9738
28.0,27.9643,28.2412,42.2653,40.1325,12.7543,74.5872,50.2379,226.1656,215.7695,225.8520,212.5674,783.4050,758.1580,774.3143,758.1057
29.0,27.9369,27.7991,43.3632,38.5148,12.4712,74.5495,51.3490,224.4978,215.3333,227.3559,215.7895,784.4044,763.9677,792.9190,757.7720
30.0,27.9600,27.7183,41.9663,38.7052,13.2231,73.3330,51.3974,225.7939,218.4834,223.3978,214.8467,778.9964,760.3708,774.7216,758.6934
31.0,27.9455,27.8277,40.1592,38.7693,12.2774,74.5796,50.0808,228.3322,215.5431,226.7075,213.8762,775.9245,748.3659,779.0037,747.4656
32.0,27.8851,27.9470,42.9134,38.2187,12.3374,74.1201,52.8149,224.1973,215.6605,224.6337,215.7651,780.0614,759.0866,782.6795,758.3683
33.0,27.9193,27.8266,41.3969,39.8321,12.6117,74.8232,50.0859,223.3875,212.8641,229.4729,215.2452,768.0803,755.7855,782.7618,754.4650
34.0,27.7437,27.7716,41.7627,38.3039,12.5208,75.8512,51.0172,224.5366,217.6979,228.8417,216.3088,773.9129,754.0962,781.0207,750.9250
35.0,27.9056,27.7505,41.1446,38.5470,12.3082,76.1523,49.8289,221.9428,213.9703,226.4305,213.5118,781.7176,754.1755,776.2835,758.6539
36.0,27.9403,27.8578,40.8434,37.3677,12.9316,76.1762,50.7257,226.5273,216.7246,227.0854,214.1879,769.4718,748.9682,779.0799,754.0582
37.0,27.9441,28.1103,41.7423,39.4942,12.9391,76.2154,49.1373,224.3392,214.6617,225.7952,212.5235,768.9795,742.6572,776.0581,748.1814
