timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.0485,27.8662,40.4186,39.6028,12.1761,63.6062,51.3229,225.7843,216.6991,225.8186,213.4031,768.5684,753.1585,778.4503,749.8567
1.0,27.9345,28.1140,44.3015,38.5059,12.0854,64.5896,52.6540,224.6692,217.2600,225.9722,213.7324,771.5470,757.6957,769.2192,743.4846
2.0,27.9690,28.1926,39.6623,37.8547,12.7586,66.0256,53.4259,225.8623,214.2514,225.4244,208.1313,765.0915,745.6965,779.6208,760.4893
3.0,27.6239,27.7265,44.3208,42.3830,12.5620,67.2325,51.1364,222.9582,215.6281,225.1973,214.3488,775.5624,746.3175,775.9839,752.9645
4.0,28.1007,27.8455,41.1168,39.4485,13.4856,66.8485,52.8757,225.4608,214.0170,224.5210,214.6187,775.8669,756.8821,774.6282,751.9711
5.0,28.1100,27.8463,41.0455,42.1822,13.1570,67.3701,50.6537,222.7449,214.8370,223.1897,210.7442,780.8811,748.5682,781.3684,758.0981
6.0,27.9171,27.4084,40.6962,39.6707,13.5780,66.3295,52.0945,223.9618,214.8171,227.8261,213.0748,780.7446,757.7325,773.7364,757.1946
7.0,27.8882,27.6474,41.7535,41.9776,13.2246,66.5486,51.9560,224.0568,213.8171,227.2592,212.8662,771.6484,758.0630,778.9954,761.7453
8.0,27.9148,27.6021,43.5412,41.8137,13.4993,68.0216,52.6174,224.6673,214.9027,225.0846,211.9993,779.2119,756.2464,775.9638,755.0521
9.0,27.8335,27.6660,43.7091,45.0310,13.1801,68.1609,50.7699,224.3633,212.4369,227.4405,211.2558,775.8847,756.9069,784.9908,760.5752
10.0,27.9928,27.7754,43.9404,43.3163,13.7908,66.4460,52.5450,227.2300,214.4093,228.6084,211.9257,770.9329,759.2453,787.6840,754.6007
11.0,27.9176,27.8188,44.2993,41.8112,12.9781,67.9262,51.0659,224.9368,211.5021,226.7139,212.5838,779.9983,761.4505,780.2543,760.5417
12.0,28.1902,27.6768,41.6599,43.4983,13.7410,68.3423,52.5347,223.2879,215.0763,225.7015,217.5944,781.9242,765.8336,772.6724,764.9579
13.0,27.9591,27.7617,43.7883,42.0481,13.5097,69.8518,50.6791,223.7308,214.2208,225.1133,214.2963,787.6640,761.6267,781.3384,764.5618
14.0,27.9521,27.8247,43.2431,41.7043,14.2060,68.6830,52.9242,226.1970,216.7408,226.3080,214.2700,786.1470,767.6164,787.2609,765.0568
15.0,27.8882,27.5571,43.8196,42.5206,13.6582,69.4967,51.1713,226.6207,215.3335,225.5891,215.5267,795.6899,764.4519,792.6073,769.5055
16.0,27.9108,27.7484,42.5500,43.4186,13.3452,69.8059,51.8461,226.9414,214.3413,228.8209,211.4035,786.7577,762.0702,787.6510,771.5326
17.0,27.9352,27.6796,43.4605,42.4791,13.5165,69.7183,51.7022,224.4529,215.3350,224.7191,212.0080,775.7209,767.2700,787.3176,762.5410
18.0,28.0353,27.7932,42.7252,41.6127,13.6353,70.6034,50.6396,225.7792,216.1813,227.8411,214.9580,790.7887,764.6332,795.8006,768.4997
19.0,27.8983,27.7339,42.0665,41.6508,13.4625,71.1483,50.2331,229.7602,217.0986,226.7473,212.3451,790.9042,765.7464,791.3139,768.9036
