timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.7631,28.0994,40.1010,39.8285,12.1281,65.4938,53.9535,224.5060,219.5375,224.3813,212.2272,768.8554,743.8045,782.4132,747.1346
1.0,27.8564,27.6462,42.6734,36.3458,12.3018,66.3039,52.2232,227.1604,215.9780,225.3668,211.1977,774.3711,758.5058,772.2164,748.2365
2.0,27.8605,27.6856,43.7967,38.7859,12.6927,65.9202,52.8830,224.4960,215.5179,222.7888,206.4968,762.7696,753.7578,768.5589,746.2535
3.0,27.6634,27.7866,40.9168,37.9092,12.7273,66.7861,51.7224,222.8466,215.4693,225.3279,215.0154,772.3249,758.3331,771.7067,750.0885
4.0,27.9365,27.9340,38.9281,39.7074,13.0981,66.2123,51.8098,222.2985,216.9837,225.5496,211.2654,768.0047,763.4616,774.9057,753.1463
5.0,28.0019,27.8401,41.5094,39.7671,12.6566,66.6539,52.7277,224.9771,217.0238,225.3845,212.5209,777.7659,755.9652,779.1247,751.5969
6.0,27.9100,27.7992,42.9551,40.4715,13.0676,68.5766,51.1050,224.4776,219.9677,225.8276,212.0767,773.1639,760.9102,769.0610,750.2191
7.0,27.9729,27.8710,45.8651,40.1667,13.0269,66.9501,50.8643,224.6521,215.9578,225.4548,212.2293,784.4991,764.7985,779.4479,753.1370
8.0,27.8138,27.8743,41.6647,40.3441,12.7146,69.1228,52.1444,223.4933,220.2703,225.5891,213.4550,773.9704,765.8422,788.4002,759.7936
9.0,27.8984,27.6995,44.6532,41.3112,13.5531,68.8797,49.2950,224.1310,218.2594,227.3519,212.8758,769.9990,767.9467,781.3559,756.1254
10.0,27.7241,27.6678,43.0197,39.7260,13.6094,67.2404,51.2713,226.4152,219.9410,225.1282,212.9666,777.2817,763.8465,783.5505,753.1658
11.0,27.9976,28.0092,43.1507,40.9001,13.6727,69.0172,52.0856,226.1898,218.2542,226.1676,212.5829,777.0735,765.7697,783.8553,758.9980
12.0,27.8499,27.7148,41.8328,40.6831,13.5178,68.5434,51.6981,227.4831,220.0111,225.5231,213.3934,779.5833,763.3676,786.6119,761.0212
13.0,27.9832,27.7980,42.9261,38.9856,13.7996,69.0149,52.1719,224.0514,218.6532,227.4972,211.9452,777.8801,766.0069,788.3265,755.8686
14.0,27.6822,27.9083,45.9095,42.8804,13.6689,68.7301,49.9469,224.6403,219.7040,229.8907,214.8007,786.1320,762.2359,787.6595,757.3788
15.0,27.7681,28.0810,45.3951,42.0783,13.3116,70.3497,50.8555,222.6617,218.2002,224.4350,216.4716,785.7613,771.9739,794.5037,772.4070
16.0,27.6971,27.5418,44.2455,41.5895,14.0515,69.3931,51.3161,228.3125,220.0478,224.9218,214.4307,779.8875,774.4323,783.9234,749.0236
17.0,27.7428,27.6791,45.1245,43.4208,13.0225,71.1091,47.4752,226.6080,219.3577,228.0816,213.2107,789.5895,768.2746,788.7676,763.1173
18.0,27.9048,27.9685,43.1343,40.7502,13.7767,71.2522,50.1477,225.5422,219.3189,227.6064,211.9374,778.1590,773.6851,786.5346,770.9566
19.0,27.7718,27.9439,43.4734,41.5211,13.2448,71.0980,49.7563,225.2027,221.6233,227.5998,214.1121,790.4002,770.5140,785.8555,758.1277
20.0,28.0635,27.7158,43.3352,40.5776,13.0989,72.3020,51.3958,227.2484,221.6074,225.8080,215.1596,779.9772,774.7233,784.8007,756.0567
21.0,27.8550,27.7695,47.4794,39.7395,13.2812,72.9060,49.8064,223.1272,221.3977,228.7654,212.9526,783.8380,782.1200,783.0405,760.5396
22.0,27.8683,27.6847,45.7996,41.5248,12.9503,72.6404,51.6425,226.5493,219.3253,226.8492,212.9334,785.7301,772.8097,792.1449,765.6266
23.0,28.0264,27.8434,44.5394,41.0959,13.1265,72.1957,50.0382,226.6736,218.9356,227.9681,215.0986,787.8804,764.4074,774.7261,760.0857
24.0,28.0304,27.6764,42.2922,41.8286,12.8790,72.5252,50.0836,227.1143,220.6212,228.6735,215.6228,779.0899,775.2203,782.8413,768.6406
25.0,27.6521,28.0118,39.8614,41.5711,13.1633,72.1070,51.5740,226.1874,219.2028,226.6695,215.0699,780.9635,764.0685,789.2206,761.3176
26.0,27.8125,27.6903,42.6109,40.2705,12.9083,73.3775,51.9288,223.4004,223.3301,226.0959,214.1118,773.9987,761.4678,788.9643,755.8863
27.0,27.8139,27.6363,44.0996,40.6982,12.5240,73.6440,50.6380,229.4599,221.0030,225.4936,212.5815,786.3987,767.0217,772.3126,761.9760
28.0,28.0178,27.9461,40.6024,41.1540,12.7259,73.7095,52.2655,225.5196,221.5933,229.5873,213.3345,779.7939,763.5652,779.8700,763.6624
29.0,28.0330,28.1682,43.8686,39.2281,12.8816,73.8563,52.3828,226.2312,221.0741,229.7026,212.7866,781.2477,774.4555,782.0479,756.5117
30.0,27.9662,28.0754,41.5636,35.7557,12.8858,74.1601,51.2240,228.1630,221.4076,228.6346,214.6874,773.0204,757.6715,787.4539,755.6859
31.0,28.1784,28.1177,42.7858,38.1651,12.6585,75.9599,50.4687,224.9266,219.0931,228.2925,212.9195,777.9972,764.5540,782.1858,748.1463
32.0,28.1218,27.8799,40.8367,41.5682,12.1948,75.3132,50.3054,228.0942,222.3449,229.3607,215.5774,782.5286,759.6583,779.4029,747.1734
33.0,28.0591,27.9155,40.6382,37.7635,12.4758,75.6649,50.1237,227.1516,221.5418,228.3749,212.9641,775.5994,760.5064,769.4530,751.4633
34.0,27.9214,28.0108,42.7865,37.4407,12.4412,75.0163,49.5470,226.2583,222.8535,227.1468,214.0621,768.2449,760.0465,768.7905,759.8335
35.0,27.7335,27.6708,39.3432,39.4699,12.7334,76.8388,51.9531,224.4557,223.6122,228.6319,211.4737,773.8938,766.0098,765.4593,751.5233
36.0,28.0082,27.7182,41.5821,38.3760,12.2064,75.2763,50.8130,227.5088,222.1348,226.9100,215.5893,781.1270,754.4341,774.2284,752.9228
37.0,28.0329,27.9501,41.3671,38.0535,12.4234,76.0744,49.6032,226.5247,223.4575,226.6910,213.5230,771.2486,759.3257,776.6974,746.6402
38.0,27.8228,27.8606,43.1367,42.4100,12.4242,75.5698,51.6678,224.5066,222.5620,227.4158,214.9574,780.2654,756.0752,776.2848,755.2924
39.0,27.9037,27.6567,40.4949,39.8317,12.4181,77.9878,50.0283,228.3461,224.6876,227.9652,213.1302,766.5890,761.2154,774.0858,756.6272
40.0,28.1163,27.7844,41.8620,41.8680,12.9582,77.4251,49.6983,224.5102,223.1561,228.7348,211.7365,766.9112,760.7374,785.3394,753.1993
41.0,27.7355,27.7832,41.3977,41.4347,12.5994,76.7464,50.6501,225.3846,224.4920,228.0905,215.2727,773.2573,761.9608,766.4001,748.7562
42.0,28.0958,28.0460,39.9924,38.2843,12.8151,76.4691,50.9751,227.0392,223.2613,228.7928,213.2052,770.5317,764.0992,771.5394,750.1368
43.0,27.8814,28.1610,39.7457,37.8532,12.9413,78.8070,49.8614,225.8914,225.9183,226.0255,211.2367,770.9079,757.2292,775.6973,746.5467
44.0,27.8222,27.8407,41.7584,40.2671,12.7152,78.9246,50.5155,223.2631,222.7302,229.2029,212.8682,772.7320,755.5216,777.8684,751.7106
45.0,27.6778,27.8291,39.4847,38.1824,12.1338,79.1506,51.6449,226.7277,222.6448,229.3690,215.5390,770.1304,758.5856,777.0459,757.5533
46.0,28.0076,27.6273,42.9150,39.4741,12.7304,79.3188,51.5844,224.3767,220.7973,228.2604,214.0909,773.5523,758.3389,775.9442,757.4679
47.0,27.8767,27.8357,41.6689,40.3113,12.3428,79.1002,48.9774,225.1498,222.2585,226.8478,212.8750,770.6394,756.6227,769.6910,752.5747
48.0,27.9486,27.8594,40.9359,40.2287,12.7493,78.9685,50.0925,224.4973,222.2277,225.7654,211.7343,773.1858,750.7519,771.3613,757.3991
49.0,28.0901,27.8797,42.4358,39.2975,12.3813,78.4277,50.8309,225.7800,225.4068,226.2397,212.1773,770.7526,759.3871,768.8665,749.5882
50.0,28.1672,28.0308,41.4501,39.4198,12.4327,79.4680,52.5382,228.1172,225.4197,227.1444,214.7501,769.2907,762.7502,764.3133,750.7264
51.0,27.8481,27.5961,40.0202,38.5911,12.6625,80.5283,50.5410,224.5194,221.6746,230.3705,215.3212,777.1650,760.6207,778.4666,743.8124
52.0,27.8918,28.1326,40.8214,40.8733,12.9031,80.4379,51.4492,226.9929,222.7471,228.4098,212.7574,767.5327,764.3430,776.0376,748.0376
53.0,27.8563,27.8508,42.5211,39.4495,12.5893,80.2448,50.4690,223.7844,224.8614,230.7167,211.0928,770.4270,765.5437,775.9752,749.6477
54.0,27.9118,27.9310,43.2490,41.2116,12.5365,80.5550,49.0437,222.9643,227.8319,228.3992,214.2274,770.8595,760.1136,769.6003,743.9708
55.0,27.9999,27.7016,42.9181,40.5491,12.8238,80.4734,48.8638,223.6408,225.3136,228.0190,213.9450,777.5791,765.8740,771.5860,754.6888
56.0,27.7718,28.0549,42.4871,36.1384,12.8415,81.4562,51.5037,226.0618,225.9953,225.8497,212.6278,767.2427,757.8162,768.5761,758.6660
57.0,27.9998,27.6864,41.5343,35.8785,12.4231,79.8490,49.2658,224.5635,225.0401,226.8778,211.8518,767.4411,769.0852,763.2195,747.7615
58.0,27.9640,28.0329,42.3822,40.2133,12.6506,80.5482,50.5720,224.7463,225.0784,229.9170,209.0635,777.3692,764.5028,771.9665,755.8265
59.0,27.9032,27.9101,40.2217,39.8988,12.5025,82.3278,52.1103,225.7623,228.0784,228.7226,211.5483,779.9095,767.6978,778.2016,755.2943
60.0,28.0183,27.9204,42.1857,38.3100,12.5768,81.3260,50.7790,226.2288,225.9545,227.3626,213.3707,770.6959,754.4999,777.2690,743.8167
61.0,27.6873,27.4117,41.6483,40.7736,12.6281,82.4239,48.4391,226.6981,228.5192,228.1606,212.0767,766.0436,766.5663,762.6500,747.8894
62.0,28.0097,27.7584,44.3729,37.8737,13.1947,82.0146,51.5007,225.3646,222.7129,226.5101,212.8806,779.1339,752.4554,769.2595,756.6449
63.0,28.1244,27.8977,41.1096,37.8965,12.5652,82.3471,50.8501,225.5823,229.1053,230.7201,211.1112,783.3221,752.4131,782.6389,754.2091
64.0,27.7534,27.7690,45.0240,38.4433,12.5683,82.3588,50.7691,224.9639,228.3769,227.1236,213.9133,774.1126,767.7226,776.4093,756.1009
65.0,27.9064,27.8544,39.1484,39.9000,12.5933,83.1771,50.7012,225.0782,228.3002,227.5495,212.7734,775.1847,756.2253,772.1822,756.5613
66.0,27.8969,27.9547,42.2907,39.0195,12.5327,81.6176,48.5017,226.4507,228.3359,226.0909,215.5063,778.0399,770.4539,778.2621,749.3676
67.0,27.9597,27.9230,41.8837,40.7943,12.3410,83.6326,48.8166,226.7532,227.9137,228.0483,213.0829,782.8523,755.8125,776.6533,751.3040
68.0,27.6076,27.9863,41.8040,37.9588,12.0163,83.4846,49.3257,224.5348,228.6517,231.7598,212.1932,764.1711,760.8174,778.7137,743.6208
69.0,28.1192,27.7008,43.2203,40.7850,12.5852,83.0798,48.2393,224.2785,230.6980,226.7112,210.0647,771.0602,766.0301,774.5398,744.5319
70.0,27.9647,28.0139,42.5958,40.9388,12.7358,83.8542,50.2954,224.6488,228.0648,226.4718,212.2938,771.9078,761.0164,771.6214,747.9878
71.0,27.7074,27.8492,42.6219,42.4826,12.5921,83.6687,50.2894,225.2861,229.3186,229.8462,210.2164,770.9389,766.1626,770.6374,755.4148
72.0,27.9752,27.7094,42.4657,38.9032,12.8901,84.9801,51.6331,224.5394,230.1763,228.1627,212.9094,769.0289,756.8172,768.6314,747.4754
73.0,28.0716,27.9049,44.8367,37.4518,12.6549,84.4709,50.4800,224.5106,229.8197,227.5866,210.8917,776.4189,748.0025,779.3075,747.1631
74.0,27.8655,27.9765,40.0758,40.1144,12.0903,85.3250,48.5477,223.6107,231.7648,229.1781,213.8010,777.3322,767.0276,778.9704,748.0085
75.0,27.9559,27.8533,40.3933,40.2211,12.6480,85.1139,49.7422,224.0183,229.2092,228.0022,212.9892,775.0395,758.6939,771.9910,752.3180
76.0,28.1740,27.9808,40.5751,41.5346,12.8921,84.1928,49.8476,223.3148,231.1711,231.6086,213.9913,776.2537,769.8331,774.3840,745.5925
77.0,27.7314,27.6831,42.0884,38.4184,12.8073,83.9363,50.1067,225.3259,229.0557,229.2069,211.9416,765.5984,773.5640,778.9849,750.1598
78.0,28.2261,27.9124,40.2015,40.6029,12.7661,83.9892,52.6217,225.3835,231.5318,228.9279,210.2219,777.2238,758.2615,775.0105,746.9323
79.0,27.8862,27.8494,41.4532,41.3631,12.3368,85.9799,50.2279,224.6387,231.2891,230.7639,213.6763,776.8861,759.5297,777.9871,751.7226
80.0,27.8098,27.9477,40.3859,39.5981,12.7865,85.4878,49.0468,224.6592,233.0137,227.9713,210.9777,761.9240,768.9608,772.4620,750.0786
81.0,28.1591,27.7433,40.1790,41.4451,12.5929,85.1177,48.9224,223.5960,231.5674,229.7659,212.7253,775.5550,775.1220,769.8523,753.3725
82.0,28.0105,27.8409,44.5275,39.5007,12.3236,85.6842,47.9799,223.5228,227.1717,228.8411,211.4666,766.9853,762.2869,764.1955,754.8882
83.0,28.0023,28.0145,41.5179,38.5181,12.7356,84.6089,49.3519,225.3117,231.4415,230.8996,211.7855,774.2734,764.4915,781.0841,740.3000
84.0,28.1756,27.7085,42.3079,41.5388,12.3769,85.8623,50.4827,225.0641,232.1664,226.2800,212.7104,773.3522,756.5541,779.7617,752.4984
85.0,27.9878,27.9763,41.5912,38.3413,13.1544,85.8846,49.2287,226.0487,230.4934,230.5425,211.5976,770.0413,775.2399,773.1382,746.0582
86.0,27.9310,27.8037,40.7167,40.3954,12.7385,86.7911,47.5476,224.2841,233.0272,227.5993,212.7212,761.8898,768.6428,776.4577,745.0945
87.0,28.0738,27.8257,41.1540,39.9849,12.5558,87.3774,49.2250,223.5159,234.6315,226.3070,210.8839,774.3243,762.5016,784.5161,750.0040
88.0,28.1941,28.1284,38.8396,36.4345,12.7484,86.7798,50.2156,224.9467,233.1626,231.5892,215.4017,764.8183,767.4176,778.8436,750.9634
89.0,28.0634,27.8710,42.3161,41.4439,12.2969,87.3270,49.7149,222.7015,234.6937,225.1670,212.7200,763.8105,771.5839,771.7769,754.7571
90.0,28.0581,28.1202,38.4457,40.3440,12.7486,87.7898,49.0051,225.9627,232.2429,229.9962,211.2600,767.2544,769.1143,774.6213,751.3817
91.0,28.0703,28.0431,41.6853,38.9325,13.3337,88.6496,49.3574,224.2360,234.7532,227.3599,212.9104,774.1643,765.0347,775.5744,744.9484
92.0,27.8337,28.0478,40.2361,38.6095,12.4159,86.6900,51.0051,223.2202,233.8138,229.7058,212.7270,767.6632,768.3646,772.5385,751.2662
93.0,27.9687,28.0624,43.7827,39.8948,13.5661,88.7451,48.5425,223.7734,234.0888,228.6395,213.0596,778.0194,768.8195,780.1781,751.4634
94.0,27.9937,27.9132,40.4108,39.6246,12.4290,87.4580,49.0347,225.1202,234.5538,228.8265,210.2183,766.0182,763.0697,779.5994,754.9856
95.0,27.9143,27.7745,43.1599,40.9372,12.7303,87.6191,49.4904,223.5359,237.6858,230.1653,215.1344,769.0218,779.7255,782.4075,743.6550
96.0,28.0497,27.6047,40.3549,37.1525,11.9294,87.2400,48.8183,225.9134,232.5402,228.3860,213.4161,776.5959,773.4604,772.4406,750.3463
97.0,27.9417,27.7051,42.1004,40.7696,12.7839,88.6063,48.7570,228.4410,234.9978,227.7554,213.6015,769.7440,768.4339,772.1402,750.1442
98.0,27.8324,28.1634,41.0537,40.2341,12.1079,87.8094,49.7679,223.2591,239.3305,229.4999,211.8963,766.3588,767.6327,770.5763,751.6072
