timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.2023,27.7998,42.4864,40.0307,12.9886,64.3542,53.2594,222.8303,217.8658,224.3898,213.1007,772.1164,760.0619,771.1160,751.1254
1.0,28.0833,28.2689,40.2202,39.2974,12.2328,64.7792,51.3952,225.0737,217.0848,222.8947,213.5458,768.9783,761.0650,776.0475,741.8646
2.0,27.7235,28.0160,44.0602,37.6219,13.0163,66.0114,51.1690,223.9715,216.4908,227.6128,214.8413,767.8575,758.0577,775.8410,759.6894
3.0,28.0039,27.9094,40.8704,41.8367,12.9373,65.5031,50.4748,223.8691,217.8474,227.3360,213.8937,769.1807,758.1205,779.0261,757.2533
4.0,27.7183,27.9285,43.2400,40.7387,12.7815,66.6603,52.0523,226.3361,216.8066,223.8893,210.6049,776.6828,757.6668,783.4693,754.0310
5.0,27.9843,27.9176,41.7586,40.6199,13.4265,67.0280,53.0234,224.6975,217.7886,227.3277,212.0507,775.2042,759.0079,769.8815,759.5093
6.0,27.8668,27.9896,39.6788,41.7563,12.5788,66.5759,53.7688,222.1227,216.4809,224.7718,214.1858,767.4140,757.6301,779.5082,748.0570
7.0,28.0372,27.8412,44.7634,41.2954,13.3219,67.5116,53.0759,223.3782,217.0641,227.8295,212.2760,778.2425,763.4072,776.7380,747.7798
8.0,27.9243,27.8058,44.9883,43.8292,13.8331,69.2152,49.7703,226.0105,218.4850,227.2427,210.3165,781.6734,760.6993,786.5908,754.5640
9.0,27.9350,27.7486,43.3794,40.4358,13.0970,67.9192,51.7473,225.4033,216.3876,229.0861,214.4568,773.0576,760.0387,781.4489,744.2594
10.0,27.7349,27.8301,44.7913,42.4318,13.9713,68.3890,51.2332,226.6090,217.5873,224.1576,210.7243,770.1547,759.3595,795.7959,761.4426
11.0,28.0069,27.9479,45.6332,39.6286,13.7491,68.5422,50.2347,225.3141,215.0257,226.2050,215.2660,774.5261,769.9434,775.4118,758.1166
