timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.7686,27.9203,43.8837,37.3403,12.6970,64.3036,52.5860,223.6019,215.6420,224.9578,213.6709,773.7198,754.3857,767.1459,751.8589
1.0,27.8988,28.0727,42.5795,37.6581,12.3916,65.7201,54.0335,225.0408,218.4730,228.0203,209.0540,776.7676,761.7567,769.6020,752.8514
2.0,27.8719,27.8068,40.9239,37.9526,13.2296,66.0951,52.1753,223.0247,215.6945,226.3773,210.8997,769.1315,748.1708,785.2070,747.6039
3.0,28.0297,27.5729,43.4088,39.8365,13.3846,65.3218,51.2472,225.1455,215.8271,227.7554,212.1002,763.3478,759.6760,778.1159,755.3150
4.0,27.9047,27.9044,41.4125,39.3135,12.7829,65.9088,52.1325,223.6548,214.5264,226.0663,214.1484,770.2767,749.8252,774.4545,749.5616
5.0,27.7791,27.7640,40.3877,38.2928,12.8772,66.5639,51.5425,224.1990,217.6572,229.9438,212.9475,776.7093,750.3053,775.2189,744.0239
6.0,27.9426,27.8808,40.6752,42.6939,12.9360,66.6235,52.6892,225.8160,216.0891,228.0230,215.0035,780.2591,759.7691,778.1289,760.2961
7.0,27.6068,28.0337,39.9671,39.3952,12.6066,66.7341,52.8433,226.8556,216.0517,226.2976,213.1695,788.0882,751.6553,775.7881,756.3190
8.0,27.7476,27.8478,41.3250,41.8586,13.4322,68.1240,52.5601,227.7593,215.8957,228.0526,214.4072,778.5745,748.8588,777.3663,758.2784
9.0,27.8815,27.7985,43.4808,40.4022,13.6767,67.9387,50.8604,224.8469,218.3850,227.6197,210.3812,778.7386,764.5524,790.3668,754.9677
10.0,28.0099,27.7497,45.0814,39.7511,13.7579,68.6031,52.6789,224.0918,218.6363,225.3998,212.8757,779.8612,762.6698,778.9990,755.2046
11.0,27.9809,27.8472,42.4956,40.8551,13.5545,70.9372,50.8948,225.5262,217.2275,226.5727,213.3655,778.0377,762.4555,787.0429,755.7637
12.0,27.8490,27.8951,41.0414,40.0237,13.7750,69.7364,50.8488,220.3704,219.1439,222.8599,212.0999,780.4037,769.4577,781.8704,764.6139
13.0,27.8057,27.6293,43.5613,44.7641,13.8190,69.4763,51.9940,224.8767,219.4414,227.7622,212.3516,780.9787,765.4291,788.1216,762.4982
14.0,27.9136,27.2516,43.7587,43.9966,13.4139,68.5793,50.9222,222.6109,221.3491,228.3368,212.5025,780.4773,765.0300,792.2070,762.5038
15.0,27.7082,27.5994,43.9901,43.2463,13.7001,69.8688,50.9634,221.1576,219.6103,226.0981,214.6880,786.7262,762.7705,792.7773,762.0049
16.0,27.8938,27.6665,42.4388,40.0045,13.4935,70.5485,48.8610,226.6065,218.3123,227.2474,217.1315,782.4397,760.1733,780.1881,756.7123
17.0,28.0002,27.9921,46.1596,40.7487,13.1207,70.8070,51.5194,228.1907,221.8562,228.1443,214.1401,794.8190,766.6172,791.3935,764.0841
18.0,27.9748,27.8399,43.7582,42.5491,13.1606,70.8517,51.4602,224.1408,222.0567,227.8928,213.9143,788.3144,764.8865,795.1615,768.7516
19.0,27.7747,27.4555,43.9643,39.3215,13.0712,71.6793,50.5756,227.0484,220.0903,226.8487,212.5863,784.4839,779.6387,787.4544,764.2481
20.0,27.8138,27.6486,46.2842,37.9137,13.3067,71.2836,50.9032,226.4531,220.6112,228.2009,215.1765,785.7923,770.4486,793.3548,768.0129
21.0,27.8078,27.7422,42.4558,40.3934,13.2951,71.7691,49.8719,226.2185,221.5095,228.9660,212.9399,790.0704,768.0297,795.0075,762.2599
22.0,27.8844,28.1260,45.7961,42.3215,12.9199,72.4441,49.9808,226.4322,222.1897,229.4810,215.4649,786.9501,765.6651,783.4274,765.8753
23.0,27.9015,27.6722,41.3638,39.0258,13.2712,72.6052,51.3923,226.0106,218.2826,228.7087,213.4973,780.6491,772.4986,783.5433,763.3239
24.0,27.9852,27.9557,45.7396,41.9436,12.9058,72.2344,50.4620,224.8057,221.0803,229.8854,213.0830,785.3528,771.6220,786.3676,755.5215
25.0,27.8398,27.8405,42.7003,41.3052,12.8486,74.2142,51.2187,223.3194,222.7302,229.0702,212.8419,790.4221,771.6708,784.9050,770.4231
26.0,28.0685,28.0168,42.6183,41.3776,13.5852,74.7317,50.7581,227.5709,219.9127,226.4657,214.3660,775.5477,762.0288,782.1620,758.7657
27.0,28.0142,28.0770,43.1570,40.7715,12.8031,74.2614,50.5366,225.0405,219.8527,227.9903,215.0556,782.3889,754.6128,774.6460,766.1020
28.0,27.9973,27.8649,42.0924,39.0639,12.4706,74.5217,50.2310,228.2687,222.3285,228.8267,213.4336,773.4051,764.9697,793.2746,758.0650
29.0,27.8465,28.1219,39.0915,41.5635,12.7610,74.9310,52.3414,227.2859,220.1306,231.1255,212.9353,776.9532,762.1433,788.2252,756.3727
30.0,28.0236,28.1362,41.5548,37.6272,13.1438,73.5985,50.9898,225.5675,219.9797,226.3416,215.4843,775.0363,772.1881,777.9388,758.3958
31.0,28.0979,27.6841,40.5551,39.0039,12.5459,73.8052,49.8721,226.1422,218.7902,230.1480,213.3719,773.6168,773.5598,781.5538,758.8557
32.0,27.7759,27.8980,38.6356,38.0009,12.0176,75.8809,50.9511,228.3555,221.4521,228.3442,212.3136,776.4547,756.0539,776.6652,752.7609
33.0,28.2826,27.8983,43.2108,37.3055,12.7051,74.9850,50.8892,224.6506,219.2745,226.8782,213.6222,779.8479,752.6324,778.7620,756.8197
34.0,28.0837,27.9759,41.6132,39.7378,13.0697,75.1124,51.2492,225.1369,224.0747,227.5770,212.7075,785.1924,757.6848,776.3911,757.1231
35.0,27.8383,27.6473,41.1867,36.5524,13.3931,75.4623,50.7167,223.9678,221.7532,226.7639,214.0575,768.0269,759.8651,775.2386,756.4713
36.0,28.0173,27.6560,39.6266,40.1712,12.3514,76.0007,49.9164,224.5985,219.9234,230.7453,212.5177,780.4190,758.8555,774.9307,754.7277
37.0,28.1909,27.9378,40.0286,39.4612,12.5921,75.5093,50.7441,222.9769,220.5555,228.0464,212.1042,763.7208,753.1494,779.0765,747.1022
38.0,27.8849,27.6766,40.1825,39.9891,12.6277,76.1379,50.7412,226.3169,223.0225,226.9618,214.5692,770.7097,753.9370,768.1562,749.6564
39.0,27.7188,27.8259,41.8486,40.1962,12.2601,75.4233,52.1737,223.8538,222.8167,228.9815,214.1815,774.7051,766.4364,780.2324,746.4068
40.0,28.0266,27.9166,40.5730,40.8101,12.8745,77.0447,49.9902,225.5154,223.9539,227.3283,212.3927,764.5397,762.9804,772.0568,744.7955
41.0,27.9921,27.7367,41.0534,40.4201,12.6572,77.8541,49.7170,226.4952,223.1952,227.0912,212.5311,780.1324,763.8618,772.6212,745.7500
42.0,28.0043,27.8174,41.9423,37.7725,12.4418,76.2983,50.5650,224.3958,222.4993,226.8666,212.9448,776.3693,761.4142,775.6406,742.1150
43.0,27.8540,28.0848,39.0063,37.7851,13.2644,77.7907,48.4842,223.9318,222.7849,228.4818,213.8454,777.8629,762.7432,785.1041,754.4761
44.0,28.0384,27.7107,43.1184,38.8248,12.5933,79.2850,48.9215,224.5733,223.9584,228.8141,215.0391,760.3263,759.6074,778.2606,751.1799
