timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.1162,27.7831,40.1032,40.2648,12.7855,64.4820,52.1357,225.2130,213.9499,225.1457,213.5386,772.4698,747.0978,772.6658,750.2339
1.0,28.1287,27.8089,39.2659,40.4045,12.7673,66.2337,50.7518,225.3509,218.2069,225.0815,213.0685,778.0290,753.3725,770.3964,752.8765
2.0,27.8470,27.7490,41.8494,37.7566,12.3766,64.6398,51.2265,227.0974,216.6769,224.6381,210.7428,772.5540,749.3379,776.6827,752.0013
3.0,28.0526,27.8190,41.8453,37.4932,12.6060,66.1822,51.1737,224.4368,217.3077,225.2413,211.6558,777.3297,756.0964,767.9429,744.0476
4.0,27.9097,27.8567,43.0073,41.9566,12.7311,65.7436,51.7641,224.9091,219.0716,225.3870,212.4566,783.0804,752.9435,776.7654,744.6922
5.0,28.1807,27.8707,43.0434,38.0838,12.7088,67.8637,51.5897,225.4641,216.6737,228.6032,212.3476,774.3616,750.2505,783.6834,751.7207
6.0,27.8525,27.8401,43.2921,41.5838,13.7681,66.7425,51.0816,224.3638,218.1872,227.4758,211.0773,776.3785,758.6889,774.2192,759.8217
7.0,27.9824,27.8622,43.5296,39.8081,13.4491,66.0309,51.5461,226.5111,218.9374,227.8644,210.5452,772.7265,757.4423,774.9327,755.8751
8.0,27.9972,28.1213,44.5842,41.1967,13.3531,67.7946,50.5462,224.6647,218.0082,225.3062,210.7117,776.1152,753.4293,786.4346,751.0169
9.0,28.0019,27.9402,41.8888,38.6698,12.9633,68.7634,51.1542,223.1143,218.7886,229.1467,210.5466,775.3233,762.1381,775.1457,751.8219
10.0,27.9042,27.6459,44.1488,42.9946,13.3610,68.4684,52.5813,225.0087,218.2608,224.6912,212.3178,776.2563,755.7066,788.7594,758.8427
11.0,27.8742,27.5264,45.5915,41.7025,13.2450,69.1492,50.6473,224.3899,217.7070,226.4743,214.0155,781.5842,760.9056,783.1247,760.0624
12.0,27.5994,27.7654,43.6875,41.0781,13.6435,70.8255,51.2222,222.0403,217.2931,226.3085,211.7309,791.2563,766.3331,781.1765,756.2036
13.0,28.1859,27.7892,42.1217,44.1612,13.9283,68.8267,51.6006,227.1723,221.7737,227.9935,215.6821,786.5551,762.3806,784.8319,762.1934
14.0,27.6130,27.9304,43.9729,41.3844,14.0131,69.2990,51.1289,224.6921,219.4141,226.4587,214.4265,795.9825,766.6104,795.6604,764.9341
