timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.1090,27.7933,43.5518,37.4393,12.6659,64.0601,52.4897,224.0193,216.2159,227.4051,215.5068,770.0459,760.0528,773.6513,757.1373
1.0,27.9753,27.9459,43.3143,38.8692,12.6425,65.8635,52.6357,222.4371,216.7650,225.6018,212.5104,772.3864,758.5052,769.3691,750.9086
2.0,28.0801,28.0916,41.7990,40.3569,12.5674,65.6147,52.0929,223.4959,216.5122,224.0651,213.5136,770.9715,752.0632,776.7563,752.3768
3.0,28.0665,27.6480,44.3246,39.5306,12.5708,66.6089,52.6646,227.8064,215.3884,226.3015,210.6132,767.2575,756.0464,783.8973,753.8111
4.0,27.9745,27.8526,41.5581,39.5806,12.9526,66.6330,51.6522,225.0179,219.5542,230.6553,211.0132,767.9683,750.7851,772.7907,740.9719
5.0,28.1428,27.8480,43.1604,39.8066,13.3221,67.3142,52.4386,225.3169,217.4532,227.1561,212.6752,770.9842,763.6081,782.4012,737.8565
6.0,28.0409,27.8025,41.5033,40.3951,13.1521,64.7165,52.1679,224.0066,217.9850,227.1468,211.1745,781.4167,760.8905,780.0608,745.9205
7.0,27.9892,27.7008,42.8946,41.1359,13.0923,67.4843,52.2813,226.2513,219.4372,224.4782,211.5354,783.4384,764.3176,783.0531,752.9587
8.0,28.1500,27.9594,43.7721,42.8997,13.2888,67.5942,51.6436,223.1595,217.6049,230.9719,214.3248,776.1154,766.4765,780.3782,761.6839
9.0,28.0555,27.7985,47.6946,41.0370,13.2025,68.3953,50.4899,226.2125,220.2857,226.2127,209.4512,775.6283,768.0897,775.2719,755.1500
10.0,27.7113,27.7638,42.8723,41.6002,13.6741,67.7485,51.8642,224.3599,218.7517,226.1999,212.0782,788.3185,761.2165,786.8753,756.4410
11.0,27.6492,27.8156,46.1196,41.4073,13.2359,66.0692,49.4510,225.7985,218.4799,228.5477,213.7575,777.0724,752.8590,777.7801,758.6700
12.0,27.6212,27.9788,44.3344,40.6436,13.6207,68.1782,51.0784,224.5080,218.4347,229.3895,214.1685,783.5118,771.1453,788.1461,762.1396
13.0,27.6482,27.9665,43.4029,41.7165,14.0345,68.7974,52.9528,225.8468,218.4908,227.4683,212.6447,786.6834,765.3843,786.5011,760.4625
14.0,27.8073,27.9108,44.9357,42.9963,13.7845,70.0832,50.3337,226.4519,217.7703,225.8140,212.8994,781.6127,773.8232,791.6226,761.3954
15.0,27.8595,27.7407,44.8838,37.9153,13.9192,70.6832,50.9220,226.0527,220.8338,227.3060,214.1211,787.4415,762.3992,787.6289,762.1247
16.0,28.0539,27.9879,44.9134,39.6429,13.9206,71.3992,51.2482,224.7729,219.8539,227.2287,214.4355,796.5920,769.9025,791.3095,777.5427
17.0,27.8349,27.9203,43.7787,42.3171,13.8214,70.3539,51.7452,224.4062,219.4786,227.3393,214.1759,797.4230,764.9162,787.2718,772.3889
18.0,27.9570,27.8417,42.1953,42.8913,13.4520,71.6593,51.6575,223.3105,220.9044,227.0730,212.6569,792.1058,764.1363,786.2428,762.8714
19.0,27.9667,27.9355,43.8330,40.5098,12.9932,70.5621,51.1423,226.2205,219.0769,229.8435,215.7985,790.9082,767.8781,787.7668,764.5493
20.0,27.9813,27.9032,42.6491,39.3044,13.5741,71.8748,51.7642,226.7564,221.8883,228.4294,213.2688,790.7354,775.9916,792.1898,765.7624
21.0,27.6654,27.7758,41.9023,38.6461,13.5085,71.5842,51.8380,224.7776,216.8344,229.3843,214.1129,787.1411,762.7101,782.7502,763.6793
22.0,27.8840,27.8705,43.9207,43.1544,13.4104,72.4848,50.4991,224.8412,219.2683,229.2301,215.1512,785.1427,768.6528,795.8987,766.2835
23.0,28.1177,27.8953,43.5572,39.9355,13.4509,71.8115,50.2429,225.5583,222.4723,228.1877,214.1409,786.4799,766.5971,793.2794,764.1120
24.0,27.7693,27.8747,41.8467,40.3107,13.2747,73.2067,51.4536,226.7294,218.6523,225.5729,212.6073,781.0038,764.7519,792.2858,766.1358
25.0,28.0081,27.7419,42.3745,38.8365,12.8495,72.0457,49.2642,226.5439,220.4070,225.0857,215.2425,783.1362,774.7627,784.2064,762.7489
26.0,27.6163,27.7973,39.7252,41.1996,12.8861,73.4555,52.2087,228.2658,219.8301,228.0928,215.5350,784.1538,762.0413,771.8880,748.6777
27.0,27.9570,27.9289,42.3754,39.5246,12.6230,74.5632,52.1398,227.3795,223.5426,227.9796,214.0183,778.4400,765.2476,791.9591,759.6732
28.0,27.9221,27.9434,43.6546,40.3796,12.4771,75.2221,50.5479,225.1472,221.6378,228.6358,216.6410,768.6928,773.1974,787.3395,754.5458
29.0,28.2017,27.9779,41.8836,39.3670,12.7435,74.7733,51.0426,225.3688,220.0588,228.3268,216.1740,786.3439,761.4032,782.1320,757.9855
30.0,27.9125,27.8013,41.7384,37.3349,13.1569,73.4083,51.2795,227.8172,221.3446,228.8545,211.0581,779.0682,760.5514,784.5082,760.3693
31.0,27.9061,27.7273,41.1110,41.5390,11.9342,75.7976,49.4765,225.0794,222.3635,227.5882,213.7214,773.3199,755.3049,775.5533,757.7693
32.0,28.0425,27.9039,40.4585,36.5289,12.0419,75.7625,49.3410,226.8168,223.0340,226.8559,213.8637,770.0415,758.5679,783.3829,757.9316
33.0,27.8719,27.6484,40.4570,39.6724,12.1881,75.1478,50.1529,228.0896,221.2174,225.2894,213.9597,777.4390,757.1718,777.9977,757.0137
34.0,28.0859,27.7080,40.6602,44.2321,12.7700,75.0199,52.3027,226.6136,222.3366,224.9710,214.6048,775.3448,756.8235,774.7811,746.2737
35.0,27.8278,27.8499,42.0123,36.7490,13.3395,75.1578,51.9180,226.1280,218.7344,226.2750,215.1373,773.1284,755.0327,783.7896,761.4673
36.0,28.0859,27.7641,40.7717,42.0837,12.4044,75.5958,50.6400,224.6850,222.2811,227.6787,214.2942,771.4089,758.3191,773.2999,747.4833
37.0,28.0223,27.9484,40.2044,38.2059,12.8575,75.0554,49.3574,227.7711,222.2613,227.8875,214.4050,771.6811,750.1230,778.4992,746.5647
38.0,27.8841,27.7865,41.1107,39.5474,12.6437,76.4354,51.0176,227.2905,221.1260,227.5025,213.0358,771.3899,762.3552,780.5555,745.0919
39.0,27.7887,27.8309,43.8921,42.0377,12.1278,76.9831,51.6038,222.4619,222.4951,228.4478,212.3832,779.5230,759.7262,780.1247,753.0794
40.0,27.9570,28.1122,41.1299,38.0256,12.9165,77.8386,50.4155,226.8248,224.0601,228.5004,214.4407,765.9575,757.0038,780.1806,763.9624
41.0,27.8280,27.9968,39.7313,41.0448,12.7316,76.5466,50.0673,226.5914,220.7109,230.0592,213.4980,769.8913,760.7526,781.6809,743.7486
42.0,28.0552,27.8214,38.9263,43.1400,12.2074,77.0243,51.1686,225.6570,223.9965,226.5452,214.6853,760.0904,759.3640,783.4267,747.9595
43.0,27.9889,27.8211,40.0060,37.4819,12.1429,79.1303,50.2216,225.9016,222.5150,227.5456,212.5418,779.2230,753.0847,786.1460,748.7030
44.0,28.0745,27.6461,41.0072,40.9095,12.2736,78.1590,49.8475,223.4307,223.5987,227.9347,215.6061,770.6417,758.5373,769.3632,750.3901
45.0,28.0678,27.9474,42.9023,40.1595,12.4495,78.3800,50.1855,225.7237,221.4257,228.8005,212.9323,777.2836,754.7843,780.0549,757.7990
46.0,27.8513,28.0775,42.2678,37.3936,11.9455,77.4835,50.4140,224.1708,220.7802,226.2905,212.8841,775.2016,750.4692,764.9021,749.9493
47.0,28.0492,27.8583,41.8763,37.9198,12.2104,79.5631,51.1322,224.3009,222.9905,227.2687,211.8800,762.4960,761.5239,766.8438,751.5858
48.0,27.8523,27.6464,42.3093,39.5192,12.5039,78.4554,51.2794,226.4935,220.6876,228.8368,213.0474,774.2306,751.8902,776.7854,747.6585
49.0,28.1183,27.9111,40.2872,39.5217,12.6774,79.8183,51.3013,226.2300,222.9110,228.0720,215.8795,771.4716,762.1155,777.5814,750.0701
50.0,28.1960,27.9361,44.9099,40.1754,12.5989,80.1467,51.3160,224.6793,224.4666,224.4092,212.1462,784.7754,764.3288,774.8527,733.7539
51.0,27.9444,28.0596,41.1187,38.6592,12.7897,81.0984,49.7978,226.4633,225.4883,229.4048,211.5024,770.9781,751.3033,770.9305,749.9136
52.0,28.0277,28.1069,42.3417,38.5534,12.2596,80.2597,49.8771,225.6488,224.4055,229.1460,212.1267,773.4650,756.8281,774.7729,746.9790
53.0,27.8985,27.8981,42.3545,39.3654,12.4504,78.1993,49.2834,224.6436,225.1399,228.2415,212.5724,763.0122,760.5921,777.7326,754.6322
54.0,27.9402,28.0842,40.4669,38.7997,12.5643,80.9868,52.6985,225.9984,223.6398,229.3382,213.2360,772.9962,766.8571,776.9736,750.1388
55.0,27.9425,28.1532,43.4495,40.9279,12.6844,80.7039,48.8102,224.2225,222.2087,228.3662,213.5834,775.5238,761.2724,774.0603,755.2320
56.0,28.3422,27.8371,42.9779,40.7582,12.4466,80.2723,49.7531,223.3861,221.1615,227.3317,212.9102,779.5024,751.2610,785.5981,749.1811
57.0,27.9070,27.7117,42.8153,39.9682,12.7012,80.5330,51.1403,225.0575,224.0279,226.6255,211.4830,767.3642,763.6868,779.7650,743.3869
58.0,28.0236,27.8562,37.1973,35.7735,12.9375,81.0375,50.0405,226.3175,227.2972,227.5169,212.0587,768.1708,760.8451,769.6201,745.2782
59.0,27.9390,27.9128,42.1827,39.8062,12.3283,82.0922,51.5122,224.9471,225.7188,231.3378,207.7349,777.7777,761.3834,776.8773,750.5744
60.0,27.6282,27.9973,43.5633,38.9710,12.2902,81.1349,51.3446,226.4825,229.3528,231.6606,213.0042,769.5815,753.3272,776.8067,752.0937
61.0,28.0545,27.6085,42.2087,36.6114,12.7457,81.7948,50.6613,227.0675,226.9161,226.9865,213.5612,764.4593,764.8899,777.1422,743.9375
62.0,27.9305,27.7184,41.4485,38.1730,12.4148,81.7234,50.1069,225.6776,224.8497,227.9605,215.6739,776.9029,759.3741,766.4772,751.5351
63.0,27.9297,27.7312,41.5208,39.5083,12.2791,81.6255,49.3644,225.8326,227.1395,229.7296,214.1138,770.2954,766.6310,777.6280,748.3920
64.0,28.0932,27.8867,42.6602,39.3337,12.8814,82.5610,50.6884,224.2027,224.6774,228.1972,214.1886,761.1390,750.5421,784.3324,753.6357
65.0,27.6942,28.0406,41.8433,43.4334,12.8030,81.9342,50.3807,225.5842,228.6021,229.2922,209.8028,789.0945,755.9652,774.3695,738.5494
66.0,27.9347,27.8755,40.9443,40.2212,12.4017,80.9133,52.0016,224.6772,228.6204,227.1597,211.7620,767.1525,754.3516,777.2472,747.4398
67.0,28.0933,27.9029,41.6087,41.0277,12.1610,84.0181,48.2552,224.2032,227.8008,228.0181,212.4444,771.8997,765.3543,768.8277,743.7520
68.0,27.7625,27.6461,41.6965,39.1042,12.0930,83.5924,47.9614,225.4404,230.9735,228.4368,215.2412,781.2540,766.8698,768.6805,749.2028
69.0,27.8993,27.7027,41.0432,39.7158,12.5775,83.5746,50.7531,223.1946,229.5908,230.8418,214.5404,769.8855,775.6623,770.4161,750.6488
70.0,27.9716,28.0184,43.9087,39.3493,12.5382,83.7005,49.8681,227.8916,229.3334,228.6206,210.2765,782.5035,772.3847,788.9203,760.0976
71.0,28.2078,28.0073,43.8003,38.4142,12.0792,83.8608,48.9627,225.0912,227.7549,226.3801,213.2241,768.0326,753.3188,772.8366,747.8362
72.0,28.1471,28.0173,41.2537,39.5100,12.6221,82.8181,48.5276,227.3090,229.5804,226.5876,214.7196,774.6145,763.6660,777.4865,748.2386
73.0,28.2184,27.9206,41.8495,39.5351,11.9638,84.4370,49.3575,225.6429,228.1834,227.0798,211.5567,771.9477,765.3189,779.7267,752.2499
74.0,27.6655,28.0567,42.9358,37.1669,12.3959,84.2776,50.3219,227.6980,227.6224,228.8130,212.1668,772.9971,767.6126,776.5176,759.5510
75.0,27.9278,27.6838,43.6562,37.5467,12.7504,84.1786,49.6680,223.2345,229.7755,229.6637,212.4008,775.9889,763.0393,773.6563,740.2654
76.0,27.7194,27.9209,41.5116,42.1034,12.4130,84.0000,48.7923,225.1227,230.9519,231.0637,211.7876,772.2564,767.5473,772.7632,747.3348
77.0,28.0036,27.8802,39.1226,37.7563,12.5325,84.7242,49.8904,227.7121,231.4301,227.3990,210.9158,765.7926,764.6391,767.8228,750.8773
78.0,27.7540,27.7321,40.0243,40.5871,12.4206,84.7446,50.9195,224.8631,230.8314,226.9154,213.8997,769.7849,765.3171,779.0192,747.3991
79.0,28.1010,27.8758,39.7006,41.5808,12.6906,85.3941,50.9278,224.9461,228.9231,229.7564,213.4325,765.7315,758.4012,780.5505,746.0218
80.0,28.0493,27.6980,42.7106,39.1662,11.9642,85.0804,50.7952,223.4650,231.4535,228.0144,210.4164,769.3287,773.4220,774.0914,749.7874
81.0,28.0488,27.8332,40.3593,41.7775,12.8352,85.8975,48.0517,222.6609,230.3911,229.5163,212.8926,771.1378,767.0050,775.9010,743.0906
82.0,27.8636,28.0664,41.0292,39.6886,12.7941,84.9104,48.8640,224.5969,231.8268,227.6690,213.6617,769.5103,766.0029,769.7885,749.0771
83.0,27.9667,27.9565,42.1292,40.7571,12.8105,84.3719,48.9203,225.0610,231.8607,227.4905,213.0066,778.8674,781.3044,777.7925,752.8674
84.0,28.2087,27.8789,40.3088,40.7654,12.9844,87.8639,47.8275,224.7531,235.0479,229.5118,210.7457,772.9044,771.3461,769.9998,740.0691
85.0,28.0967,27.7286,42.9693,40.0220,12.4837,86.7252,48.6097,227.2719,234.6842,229.4428,213.2954,777.5352,765.0491,767.3115,745.9048
86.0,27.8842,27.5138,41.4394,39.1551,12.7430,86.0239,49.5052,224.8284,233.5637,226.4276,213.0935,766.3277,762.7259,775.1983,748.8723
87.0,27.8580,27.8681,40.3662,39.3871,12.4922,86.2657,49.6107,222.8041,230.9840,228.1612,213.5163,785.9920,767.5158,774.9059,747.7661
88.0,27.9618,27.9398,41.8110,36.8517,12.1844,86.2690,48.9186,223.8077,235.6222,228.5663,210.0366,771.2571,769.9304,785.7245,749.6722
89.0,27.7919,27.8353,40.7349,40.5524,12.7342,86.9887,48.3614,224.9484,235.0659,228.1601,214.7869,768.7294,766.2799,782.7431,754.1661
90.0,28.0336,27.8238,41.6305,39.1930,12.4355,88.1576,49.4290,223.7151,235.8860,230.0387,211.7352,771.5071,759.7274,766.8913,756.5436
91.0,27.9713,27.9208,40.9459,39.6434,12.7854,87.6327,49.4846,225.2364,232.9855,229.3495,213.5579,767.2368,763.4914,775.5372,749.4233
92.0,27.9946,27.9479,40.7559,38.9402,12.7492,88.2337,48.3040,222.9957,231.9835,229.7469,208.3924,767.3319,770.9052,783.6418,749.0769
