timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.7174,28.0168,41.3931,36.4449,13.0808,66.2442,52.0521,221.5382,217.1465,225.5111,214.2737,761.2300,747.5708,781.5989,748.1154
1.0,28.1425,27.6732,41.8171,39.6757,12.8682,65.5547,52.3349,224.2682,217.2749,227.1744,211.8775,776.4101,752.1231,766.2916,745.2480
2.0,28.0944,27.9602,42.6527,40.0813,12.7833,65.3816,53.4427,224.6050,216.1651,226.2975,211.9247,780.6262,759.2555,772.6964,751.1689
3.0,28.0326,27.8502,40.7016,39.8052,12.2992,67.0224,53.0168,221.7304,216.9512,226.5453,214.3048,778.5532,751.3052,768.4355,759.7148
4.0,27.9820,27.7922,41.1474,39.9489,13.3545,67.5026,52.0968,224.1459,216.8312,225.5484,212.0419,774.5818,760.4456,775.5791,753.5834
5.0,27.9807,27.7620,42.1137,41.0304,12.7320,66.0090,50.8488,225.6231,215.5768,226.7343,210.2240,773.1878,757.7138,771.4902,749.7962
6.0,28.1094,28.1952,41.8133,40.9834,13.4524,68.2638,49.9087,226.4579,214.3925,225.8159,211.7397,783.6515,757.8237,772.4372,752.8451
7.0,28.1267,27.9422,41.5254,43.1568,13.2183,67.8951,52.2170,223.1447,213.8815,223.6708,209.8884,775.7085,762.9759,774.3091,751.4397
8.0,27.7855,28.0107,44.6196,42.2678,12.8100,66.1713,51.5673,225.7327,216.1542,225.5063,211.0876,770.1694,754.2216,775.6938,749.5108
9.0,27.7288,27.8740,42.8909,39.9000,13.6329,67.2445,52.6241,224.9428,218.8944,223.8517,214.3488,777.1044,766.0538,780.9198,759.1551
10.0,27.7998,27.7122,45.7350,38.2844,14.0125,69.4494,51.7216,223.9598,219.0296,227.9730,212.9735,785.2223,758.9012,778.8190,760.2658
11.0,27.7968,27.7718,42.9386,41.5460,13.2096,69.6123,49.0346,225.4375,217.8609,223.8300,213.3658,777.1200,774.1086,789.7180,754.7279
12.0,27.7811,27.8172,43.0048,41.9325,13.5771,68.1587,52.4065,223.6762,217.4651,226.6592,214.0091,780.2097,767.3400,790.8217,763.7916
13.0,27.8587,27.7659,43.3227,45.8572,13.6164,69.6649,50.1341,225.1488,221.1118,227.0918,214.8155,783.8251,767.2979,788.7592,771.1885
14.0,27.9178,27.7707,45.2593,44.2752,13.5259,70.8804,49.5693,227.1587,220.3195,229.2948,214.1669,783.8308,776.0526,786.6364,759.9977
15.0,27.8279,27.7552,45.3245,40.8511,13.3847,72.3671,50.1910,226.3170,219.5531,226.2718,214.3543,782.0587,776.3399,791.9358,768.3102
16.0,27.8488,27.6766,42.3912,39.0872,13.6159,69.8124,50.9632,225.0143,220.8212,228.7181,213.6078,787.6449,768.1216,793.5914,764.3548
17.0,27.7389,27.6980,42.5252,40.5728,13.5469,69.8448,49.9196,226.0201,220.0462,224.7424,214.9204,782.5002,760.2138,791.0211,765.1659
18.0,27.7709,27.9493,41.0409,42.2542,13.4732,69.9386,51.8207,225.2205,220.0291,228.8488,212.8820,786.1971,772.1708,796.2792,765.5065
19.0,27.7753,27.4200,44.7492,44.6370,13.5671,70.6191,51.0637,227.4969,217.1366,226.7989,212.7075,784.9171,771.5954,788.7001,773.7441
20.0,27.7684,27.7805,43.6989,41.0460,13.0150,71.1546,49.8578,226.4922,220.3091,229.5838,213.6512,781.9234,762.9659,784.9714,771.4784
21.0,28.0358,27.9201,41.9471,39.9748,12.9500,71.8977,48.7308,226.4084,218.0342,230.7783,214.8218,786.8215,762.8798,777.1746,761.6051
22.0,27.8751,27.8197,43.5373,39.2429,13.3863,71.6441,54.6366,225.9131,219.6219,228.7550,212.9986,786.8910,775.9733,784.2011,753.9731
