timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.7334,27.9113,42.4987,40.8366,12.2835,65.4771,51.8477,225.9558,219.1884,223.5382,214.3612,769.7329,756.6394,770.1289,746.5175
1.0,27.8976,27.8966,43.5490,41.3025,12.7538,66.0259,52.3870,222.5939,214.6262,224.6102,214.4306,772.6800,752.0839,780.8640,747.0825
2.0,28.1116,27.8349,44.2090,42.4798,13.1654,65.0756,51.5596,225.9665,220.3342,225.8179,212.9607,772.1072,753.7185,776.4958,755.3132
3.0,27.9343,27.9275,41.7185,41.3559,13.2317,65.6150,52.3614,225.0365,217.7749,226.3196,211.0964,770.6203,759.1563,782.3139,753.7054
4.0,27.9572,27.8640,43.0428,40.1391,13.1254,66.4976,50.9918,223.5956,217.5221,225.4101,213.0670,767.2941,756.1144,772.8965,752.2839
5.0,27.8664,28.1135,41.8592,41.5199,13.0077,67.5615,51.9439,224.2690,217.9332,225.5852,211.6123,772.2660,753.1160,778.0917,751.9625
6.0,28.1035,27.7978,43.0539,38.2311,13.2248,68.5865,52.9159,226.6342,218.4671,226.0269,211.9024,763.1500,756.7953,777.3118,749.4461
7.0,27.9159,27.7124,42.5903,39.6136,13.0305,68.7570,51.6837,224.2679,216.8931,226.8720,210.2843,772.9919,758.6468,781.8198,755.4968
8.0,27.9839,28.0494,40.9346,41.9660,12.7540,67.2463,51.9613,222.9249,218.6435,225.2484,211.2884,773.8958,759.3349,786.2123,755.9908
9.0,27.9429,27.6884,41.9278,42.8617,13.4533,70.5553,51.2797,225.3858,218.3499,226.4398,213.2220,778.4109,765.1454,776.0080,765.1692
10.0,27.8417,27.5675,44.6223,37.5889,12.8532,69.4383,51.6561,223.7211,219.6647,227.2393,211.6035,785.0912,763.4818,786.3803,759.5072
11.0,27.7055,27.6720,44.9025,42.5422,13.1952,69.1450,51.4710,223.1848,218.8130,224.5182,213.5681,783.3797,755.6039,779.9154,756.3886
12.0,28.0389,27.6853,42.9438,38.5819,13.2934,68.0000,50.7602,225.5774,217.5888,228.9588,212.4459,782.0962,768.0200,775.6956,753.6194
13.0,28.0877,27.6891,43.0555,44.1466,13.5540,68.4942,52.0696,221.7827,216.8445,224.7258,213.9954,784.8139,771.0402,797.7188,759.5601
14.0,27.6025,27.8170,44.0558,42.7172,13.6071,68.6191,51.5873,226.6565,217.4548,228.6752,214.0570,785.8300,762.1341,791.9359,757.6075
15.0,27.8601,27.9351,44.3016,44.8600,14.3526,69.3346,52.9092,223.6481,220.9782,227.9311,213.4429,792.4598,767.2527,793.1919,763.0267
16.0,27.9559,27.6266,45.2824,43.8142,13.1475,72.0069,50.1481,224.4640,219.4411,228.9422,214.7500,780.3996,769.9140,791.0454,760.3899
17.0,27.9079,27.5818,43.5288,39.0742,13.6837,69.9053,49.4806,227.2215,218.8859,225.9086,215.0039,790.1237,769.6887,775.5070,774.4489
18.0,27.9147,27.9656,42.9964,41.9418,13.5961,71.0860,51.6982,223.8500,218.0937,224.9818,211.1576,787.4735,770.8645,792.4709,760.2506
19.0,27.9810,28.0081,47.2869,44.6871,13.2501,70.8905,50.4683,225.8247,220.6376,228.8530,215.1521,784.6305,764.7742,775.5925,764.6707
20.0,27.8393,27.9262,41.2056,40.0193,13.8830,71.1720,50.0736,224.5797,221.2491,226.3086,212.2031,773.8026,771.9897,789.8745,762.4462
21.0,27.8385,27.7600,44.9292,40.0338,12.5937,71.3729,51.3233,225.1972,221.9940,225.4826,214.5062,783.8369,772.6223,790.6665,767.7645
22.0,27.8680,27.9651,44.8744,42.3697,12.8270,71.7287,50.6082,226.0666,217.4564,227.3630,214.7736,785.5519,769.4355,793.7051,765.7334
23.0,27.7532,27.8736,45.1637,40.8259,13.1520,73.0980,49.8396,224.2005,218.9532,228.6960,215.7965,782.4348,771.8693,780.6020,759.4288
24.0,28.0482,27.8192,40.6690,41.0458,12.9862,71.5202,50.4900,225.6364,220.5328,227.6699,213.9478,788.4723,764.9455,782.9520,763.8382
25.0,27.9472,27.6133,40.2414,39.0281,13.3091,74.0532,50.5258,228.3384,223.4525,227.4142,213.9225,796.6724,766.5221,793.9576,754.1680
26.0,27.8885,27.8028,42.6345,40.2677,12.9600,73.8866,48.1498,228.0777,221.1096,226.4795,213.4746,773.8932,775.4466,783.2856,757.5939
27.0,28.0397,27.9205,42.3630,42.1238,13.1719,72.8146,52.1055,227.0540,220.5467,228.6202,216.0985,786.5161,762.7143,784.9919,767.5202
28.0,27.9396,27.8057,41.8311,36.9127,11.9749,74.6700,50.3051,224.9901,219.5563,226.6287,211.8021,776.2382,770.1092,783.4294,761.5901
29.0,27.9372,27.8620,39.1776,39.7822,12.9395,73.7778,50.9962,224.7040,220.2333,226.3731,215.2722,776.0801,752.1791,775.8722,751.2098
30.0,27.7164,27.8893,41.6383,42.4522,12.5406,74.0793,50.5118,224.9946,220.4336,225.5484,210.8325,779.6523,760.2695,779.9715,755.7614
