timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.9577,28.1071,44.4255,37.9967,12.9231,63.4220,53.7489,223.6205,215.9126,226.7537,211.1609,775.6650,744.7984,769.0752,749.9022
1.0,27.8326,27.5528,40.0140,39.1779,12.4833,66.6944,52.0378,223.8173,216.9884,227.5237,212.2842,776.1107,759.5005,775.3862,752.6669
2.0,28.0601,27.6753,43.0216,37.9932,12.8571,66.9750,52.2413,224.5939,218.8529,224.9670,212.7755,768.5604,752.1096,772.7673,745.0437
3.0,27.8794,27.7662,41.2546,39.7236,13.1626,66.1757,52.4725,224.7625,213.5882,226.6283,213.1273,776.9145,758.6854,772.8015,743.8728
4.0,27.7823,27.6904,41.5846,42.0721,12.8415,65.5140,51.3201,223.8780,218.4523,227.2618,213.3987,770.1174,763.3083,780.1602,753.8779
5.0,27.8353,27.8341,45.1866,40.6145,12.6184,65.9864,49.3302,224.3121,215.3205,225.1885,213.0658,771.7756,755.1382,773.4048,756.0921
6.0,27.8582,27.8497,43.1456,41.6366,12.5534,65.7988,52.3005,225.7440,219.5671,225.2467,213.0598,779.3004,751.8382,775.0927,750.7150
7.0,28.0736,27.7995,42.8584,42.2570,12.8631,67.5694,52.4944,226.4178,216.2657,227.3285,212.6015,774.2240,757.4454,785.0234,763.6025
8.0,27.7963,28.0073,41.3504,46.8415,13.4607,67.5043,50.8623,224.0176,216.9061,227.4814,211.5214,772.6712,756.6897,776.8748,749.6307
9.0,28.0626,27.4904,44.6023,40.1520,13.0879,66.9008,51.6773,223.0355,217.2691,227.3397,213.6706,779.2350,759.3652,776.5292,761.5311
10.0,27.9155,27.6948,42.6532,42.7784,13.8501,68.6259,50.7243,226.2355,216.6243,227.6966,211.6837,783.9233,769.3641,784.3785,763.5355
11.0,28.0695,27.8160,43.8967,41.0044,13.1681,69.3802,51.0141,225.3513,220.9412,226.5638,210.8852,773.6032,775.1505,782.1899,752.9988
12.0,27.8840,27.7744,43.6527,41.0159,13.4383,67.4495,51.1218,226.1428,216.6786,225.2089,213.5849,783.1133,770.2815,788.0181,765.5688
13.0,27.6354,28.1229,42.2349,40.6449,13.9069,69.4867,50.4543,223.2561,219.5079,228.9139,212.4822,785.2691,773.5293,785.3494,753.8170
14.0,28.2148,27.9062,43.4605,43.8411,14.0333,70.2908,50.6649,224.8576,219.1016,227.4766,212.7511,792.6669,768.7367,790.0000,763.5477
15.0,27.7770,27.9128,45.4339,41.4700,13.6100,70.5998,52.3303,224.7344,217.4577,225.7694,214.2869,781.9737,765.5278,785.3868,761.5977
