timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.1183,28.0464,42.1343,37.9771,12.5579,65.3801,52.0421,227.0507,215.3975,225.5013,213.0627,776.3022,745.5562,774.8881,747.2092
1.0,27.8701,27.8264,42.4611,37.5490,13.0666,65.4295,52.8431,226.1239,212.8246,224.9128,211.9122,774.4886,751.1318,780.3164,748.3526
2.0,27.9509,27.8319,39.3882,37.4965,12.6033,65.1187,53.0584,224.1138,216.9744,225.6831,211.7102,771.7486,758.9285,773.6372,745.5088
3.0,27.9492,27.7645,43.1732,38.1726,13.0291,66.0057,52.8223,224.0966,212.4430,223.9118,211.6669,760.8782,752.3451,780.3722,752.2383
4.0,28.1830,28.0078,42.6286,40.5875,13.1416,65.5443,51.9397,223.3791,215.2828,224.9876,212.1516,781.0700,748.2031,771.8395,751.7372
5.0,28.0386,27.7715,43.5555,41.6815,12.9895,67.0715,52.6003,226.7272,215.6763,225.0705,212.1508,772.5310,748.2142,778.3887,754.0933
6.0,28.1743,27.9274,46.5359,42.2026,13.0785,67.5545,51.9966,224.7557,215.8183,225.3923,209.7652,783.6045,753.3169,786.3457,750.0526
7.0,28.0209,27.8595,40.5574,39.0783,13.5715,67.2484,52.3691,227.0999,216.1688,226.2513,214.3061,778.8289,750.5466,773.7515,757.4528
8.0,28.0004,27.8486,43.8171,38.7457,13.5813,66.2817,53.2683,222.1885,210.6224,226.4577,211.7324,770.0189,752.4380,772.9942,758.3985
9.0,28.1779,27.7793,39.5600,41.6298,13.6150,67.4635,50.3315,222.4641,216.1079,224.4422,212.2724,778.5576,766.9489,783.3527,760.5479
10.0,27.8290,28.0936,46.5292,43.1201,13.1313,70.3778,51.5744,224.2315,215.4382,226.3305,213.8202,770.8932,760.3353,782.3773,754.8564
11.0,28.0820,27.8951,42.6355,40.2550,13.6383,67.2985,51.2374,225.4571,215.5096,224.6860,213.5667,775.6805,767.4251,781.8493,757.9750
12.0,27.7199,27.7720,41.3888,39.1033,13.4008,68.7487,49.4153,223.3487,215.2450,226.6617,216.4009,784.9714,761.2872,782.1337,763.3036
13.0,27.8926,27.7569,47.2081,39.6501,13.2796,70.5353,51.7278,225.9813,214.5275,224.3566,211.6929,787.9689,759.4414,786.9639,764.5666
14.0,27.7093,27.3014,45.3477,43.0045,13.5293,69.9733,49.5127,224.1710,215.8079,227.0794,213.8196,780.3133,770.6204,786.5951,768.5259
15.0,27.8234,27.8718,44.5207,40.3488,14.0623,71.9150,51.1785,221.8598,215.2801,228.7133,212.2036,782.1479,762.3080,795.4700,766.8247
16.0,27.9484,27.6423,44.7864,41.9538,14.0846,71.1558,51.2885,226.4966,214.9326,226.2454,215.7194,789.0185,764.7899,794.9033,763.5874
17.0,28.0073,27.8824,43.7644,41.7188,13.3896,70.3771,49.9599,229.1422,215.3357,227.2240,213.0087,787.0748,767.8946,793.6256,772.1006
18.0,27.9983,27.7839,44.4029,40.4356,13.6565,71.8991,50.5428,225.8118,217.3213,227.5048,215.7901,783.9691,766.8972,796.5268,773.8082
19.0,27.7356,27.9179,42.2456,39.8953,13.9369,70.4948,50.6927,224.4517,218.8476,226.1170,215.6716,794.3535,769.9865,785.3331,769.0667
20.0,28.0697,27.8914,45.2950,41.6863,13.2067,70.7568,49.5055,227.5928,217.2494,224.8887,216.7202,794.4790,774.4413,785.3338,766.2822
21.0,27.6587,27.8071,41.3272,39.8776,13.5720,72.7912,51.3952,225.5194,217.4577,226.0674,212.3580,786.2637,766.5501,785.5023,760.9415
22.0,27.9214,27.6592,39.8056,41.9943,13.2809,72.1521,50.5683,224.6944,215.5665,227.3563,212.2615,787.2208,770.0534,775.6841,770.0056
23.0,28.2552,28.0086,43.1238,41.2392,13.3693,72.4788,51.9052,225.8564,218.6811,226.1884,213.6753,777.7295,764.9178,789.1180,766.4430
24.0,27.9815,27.7300,45.1730,37.7404,13.3047,73.0732,51.0634,226.0262,217.6157,228.5136,212.1002,783.5624,761.5135,782.1807,760.0399
25.0,27.9286,27.5259,42.5982,38.1390,13.2930,71.9257,51.1024,229.1759,217.8807,228.9467,213.9263,786.3080,764.6257,790.2663,768.3606
26.0,27.9923,28.0573,45.2071,40.5973,13.2129,72.9678,49.9526,225.5401,216.7986,226.9066,213.4960,781.0866,767.9310,799.6182,765.4956
27.0,27.9319,27.7898,41.0286,38.2253,13.5331,74.0613,51.5599,224.9321,216.8572,228.3957,214.1125,781.0307,762.0564,784.6579,764.2232
28.0,27.8624,27.7447,43.7785,39.6426,12.4282,74.5935,50.6652,224.0143,216.5529,226.0510,213.1189,775.9452,760.4573,782.1047,752.6286
29.0,28.0558,27.7675,40.2365,38.4366,12.9229,74.4315,49.9060,228.4320,215.3971,229.2541,214.1143,775.2061,768.3616,777.4818,765.8559
30.0,28.1798,28.1634,41.2404,38.9745,12.4282,74.2367,50.4029,225.4110,216.7062,224.2948,213.9072,777.6247,755.5946,781.5135,763.9903
31.0,28.0457,27.9863,40.3707,38.1521,12.0064,73.3981,49.4834,226.2339,216.3840,226.5794,212.4156,779.4818,760.1452,785.4731,751.0597
32.0,28.2533,27.9034,44.0474,39.8720,12.8358,73.7607,51.5620,225.9574,214.4749,226.9261,214.4887,772.9960,757.5468,785.7373,763.2009
33.0,27.9965,27.8413,37.8973,39.8035,13.0265,74.4026,52.3068,227.5801,214.5061,227.3999,212.2210,777.3673,757.7964,780.5629,751.5033
34.0,27.9052,27.9764,44.2451,39.6795,13.1803,75.8491,50.7292,225.3788,215.9414,225.5633,211.0575,779.0603,754.6177,775.2945,753.2317
35.0,28.0571,27.7235,41.1050,40.9898,12.6627,75.5039,50.0399,226.0146,215.2320,225.3681,212.4434,773.6699,747.3675,779.6771,751.5083
36.0,27.9155,27.9439,41.3932,39.0012,13.0276,75.9034,51.6448,226.8053,213.5424,225.0569,214.5107,773.0949,758.1150,770.3659,740.9990
37.0,27.8359,27.5620,44.6688,38.7389,12.7806,76.0299,51.7662,224.6680,214.4424,225.3207,214.9635,771.6195,748.9530,783.1516,753.2545
38.0,27.8077,27.7863,41.9133,41.3527,12.6234,76.2172,50.6286,227.3098,218.7191,228.2518,214.2113,776.1014,751.1249,777.5446,756.1749
39.0,28.1377,28.0826,42.4776,37.5199,12.6772,75.7103,48.8506,226.7555,217.9824,224.3479,213.6464,770.0845,761.2689,784.2408,751.6384
40.0,27.8070,28.0856,45.1682,38.7171,12.9437,76.9184,49.0552,226.2159,214.4859,226.0478,213.6261,771.2828,756.7291,775.1048,763.3937
41.0,28.0407,28.0135,42.0393,43.1668,12.4003,79.0886,50.4832,226.3729,218.0284,225.9543,214.0611,770.2258,751.9286,777.8262,747.5589
42.0,27.9835,28.0168,43.7796,39.0139,13.0025,78.0995,49.6239,221.7817,217.4390,226.7782,215.6360,770.3083,755.9585,775.4887,754.5928
43.0,27.6815,27.9510,42.1249,37.9273,12.3442,77.1613,49.4469,223.8318,216.2538,227.1281,215.6055,773.0045,742.5338,775.7466,748.1539
44.0,28.0354,27.6105,43.1136,40.2640,12.7545,79.1511,50.9141,225.3899,215.6652,225.0830,212.8660,774.5084,746.2983,779.3415,761.5781
45.0,27.6896,27.8587,40.5636,40.9964,12.9526,78.7411,50.0822,223.0652,217.6814,230.0897,211.9741,769.0285,746.6388,765.1025,741.1826
46.0,27.8466,27.9763,41.4501,38.8090,12.8985,78.0436,50.6988,226.4636,215.0203,227.0491,212.3007,779.9888,756.4892,772.5167,747.3400
47.0,28.1538,27.9643,41.2025,39.0361,12.7080,77.2837,51.7080,225.1956,214.9271,227.0747,212.7201,773.1923,759.8153,769.6057,745.9026
48.0,27.8150,27.7322,43.4535,38.0742,12.3959,79.1504,50.4538,225.7913,216.8886,224.2607,211.1507,767.4310,759.0628,766.6123,752.6173
49.0,27.9608,27.8588,40.4346,36.7636,12.8404,78.4816,50.1682,225.9636,214.1231,227.2912,214.1121,778.1144,748.0255,770.7530,751.0401
50.0,27.8878,27.9530,43.2530,38.8326,12.5809,79.5633,50.7445,226.5918,215.6602,225.9126,211.7320,772.6500,754.4279,784.7096,748.0904
51.0,28.3196,27.7867,41.9926,40.7907,12.7037,77.5772,50.6844,225.9385,214.6621,224.8295,216.8763,778.3642,752.1218,782.7637,754.5833
52.0,28.1123,27.7003,41.7451,39.3804,12.2790,79.4501,50.2447,226.7298,213.0630,225.7495,211.9966,770.1500,761.4202,773.1414,753.9777
53.0,27.8958,28.1399,42.1108,39.2922,12.5757,79.4260,50.4595,226.6066,215.0432,225.5017,212.4948,763.0969,764.0647,771.3207,742.4787
54.0,28.1336,27.8434,40.8342,39.5763,12.4666,81.8489,50.7658,227.3562,216.2049,225.2452,214.6193,767.6238,759.9127,776.8591,748.1300
55.0,27.9004,27.6348,42.7000,39.5747,12.6992,80.5861,51.6415,223.2300,215.1600,230.0746,213.6198,768.5128,752.7786,776.4842,748.0006
56.0,28.1300,27.9022,41.2101,39.2654,12.5022,81.5841,50.6281,222.8853,216.0101,225.0874,211.2761,768.2580,751.7533,775.1044,747.1619
57.0,27.8602,27.9207,39.4344,38.6327,12.4973,82.0825,48.8368,223.8857,217.0629,226.0265,212.2845,776.7525,745.2102,774.9126,739.3175
58.0,28.2390,27.8762,40.8290,38.1058,13.5214,82.1452,49.4792,221.8075,212.9134,228.7690,211.8619,774.4971,754.0602,769.2746,748.7660
59.0,28.1864,27.8003,44.7967,39.8401,12.6260,82.4164,50.8972,225.2776,216.0810,226.3637,213.7123,773.6105,746.5010,774.3098,756.4476
60.0,28.1820,27.9162,42.9725,40.2113,12.7636,81.6032,51.0714,224.4855,213.0802,227.7801,215.1851,772.3243,756.1730,770.3278,757.6064
61.0,27.8091,28.1374,42.8954,39.5469,12.4941,81.8622,51.4838,224.4683,215.0814,226.7834,214.0182,772.6362,744.1747,777.8466,745.2813
62.0,27.8816,27.8581,38.2734,41.5359,12.7315,81.3453,49.3349,222.2007,216.4406,227.1737,211.2869,765.9880,750.5753,775.1388,747.6148
63.0,27.9309,27.8589,41.1734,38.3632,12.5297,81.8166,49.1824,225.7192,214.9567,228.2308,212.4623,763.6097,752.5214,773.9907,742.4531
64.0,27.6834,27.7048,42.2161,39.5936,12.7110,81.5721,51.1593,224.5269,214.7560,226.0549,213.6724,767.3609,748.2778,776.1871,744.8101
65.0,27.9858,27.8586,41.1217,38.2672,12.5020,82.3372,50.2834,225.5767,215.8768,224.6052,212.8565,777.4752,749.0684,780.2644,753.6523
66.0,27.9503,27.9578,40.7750,37.6062,12.8013,81.9356,50.7630,223.1128,214.6119,224.1940,213.3624,775.2111,744.1432,776.1142,749.7542
67.0,27.5673,28.1608,40.7349,37.5388,12.1561,84.1487,48.7292,222.5432,212.7633,225.5450,214.9906,766.6802,756.7156,781.1161,745.1823
68.0,27.9169,27.8916,41.2831,39.4410,11.7779,83.8651,47.7067,224.8460,214.9840,226.0938,213.3441,769.0478,749.6137,768.8190,752.4036
69.0,28.0690,27.7776,41.5578,39.0894,12.3248,82.9665,48.2080,226.2557,213.4778,222.8062,209.4693,763.5910,748.1293,779.0363,751.1024
70.0,27.8477,27.9423,40.2689,40.1920,12.3837,82.8406,49.3763,227.6595,216.3335,224.9115,212.1027,774.5635,746.5054,775.2296,752.0467
71.0,27.9358,27.8687,43.5531,42.3914,12.4411,83.7550,51.7493,226.4921,214.7998,226.3259,214.3012,764.8336,754.2824,773.6851,753.4254
72.0,28.1381,27.5326,40.8330,40.4198,12.4111,82.9910,49.0501,224.0387,212.6799,225.5712,213.6731,783.7332,753.6981,773.4632,751.3278
73.0,27.9607,27.7419,41.0701,40.4540,12.1778,84.3752,51.4170,225.7212,214.3106,224.3577,215.2058,765.8430,754.6246,768.4436,755.8549
74.0,27.8479,27.7737,41.4183,40.1405,12.6513,83.4650,49.2911,225.8641,215.6847,227.4403,211.5490,771.5616,752.4579,774.4481,756.8627
75.0,27.8850,27.7108,46.1240,39.9766,12.9004,84.8322,48.9480,225.5892,216.5621,226.4837,213.5666,776.5424,748.3771,769.3512,744.0402
76.0,28.0506,27.8074,40.1832,41.0581,12.1715,84.7272,49.7200,226.7643,213.7741,226.5334,211.9128,764.5298,760.4833,774.1275,750.3338
77.0,27.9819,28.0306,40.3573,39.2909,12.5577,84.5324,50.6793,224.2367,214.7462,224.9592,211.3537,764.5137,748.5214,771.1622,742.7255
78.0,28.0893,27.7368,40.0625,38.9651,12.5553,86.0664,49.7063,223.3037,215.2188,225.8843,212.1611,779.8085,749.0454,777.6234,755.9347
79.0,28.0469,27.8166,42.2749,37.8964,12.3442,86.0331,50.9525,222.9898,214.7602,225.3250,213.9600,766.0330,750.8178,776.8329,747.9128
80.0,27.9389,27.8097,39.5010,39.4754,12.6739,85.3877,48.9033,224.2934,215.1105,225.6484,215.4009,771.9663,752.0379,769.3402,746.7066
81.0,27.9016,28.0439,44.8961,38.6632,12.5210,85.5496,49.1726,226.4709,214.5994,226.0590,212.8859,770.7319,751.7518,776.4565,755.2365
82.0,28.0310,27.8155,43.2465,39.1009,12.5040,87.6040,50.7779,224.5245,212.3431,224.6716,214.8490,773.8964,749.2640,776.2504,742.2388
83.0,28.1542,27.6857,44.3972,39.8302,12.5524,86.4862,50.5441,225.2946,215.2227,224.0725,214.9343,766.8477,754.8019,779.9523,752.8006
84.0,27.9304,28.0386,41.6113,39.1127,12.9528,87.1414,50.1790,222.4702,211.5481,224.0635,212.6692,772.1281,751.8139,771.0321,738.5561
85.0,27.9581,28.0102,40.4601,38.4016,12.9085,86.0931,48.8575,222.3881,213.9017,224.0551,212.5230,766.2619,756.4698,773.6868,751.0822
86.0,28.0166,28.0423,41.3190,38.7284,12.6543,87.1788,49.8965,224.7988,216.9237,227.2412,213.4581,769.9457,750.4126,777.2329,744.5612
87.0,27.8886,27.8761,42.5487,37.3804,12.4042,86.6109,49.3789,223.9115,215.8223,223.3425,212.7095,781.5940,759.3438,783.3673,751.8165
88.0,27.7163,27.9081,38.8453,39.7657,12.4759,86.8559,48.5619,225.1221,217.1777,226.9302,213.8460,776.5900,747.2145,780.8477,746.5024
