timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.8389,27.9901,42.6836,40.2213,12.5743,64.5252,52.9765,223.2527,218.1279,227.4061,213.9430,782.8359,757.2660,771.3696,752.1842
1.0,27.7174,27.8103,42.0197,39.9660,12.8722,64.7987,52.6847,226.2355,215.9738,224.4684,214.1271,769.5985,759.1231,767.7534,749.1824
2.0,28.0691,28.1488,43.7088,40.6849,13.0316,65.8820,53.4134,224.4592,218.5075,225.5996,212.6082,772.1483,754.8506,769.8021,750.1243
3.0,27.9578,27.9096,40.9568,38.7035,13.0945,66.8438,50.9908,226.8960,215.7444,226.6098,212.2064,781.2918,756.3785,773.2833,761.7768
4.0,27.8977,27.6937,42.5456,39.6628,13.0794,66.1306,50.5627,224.3324,215.5102,228.2018,212.1771,771.4908,763.8705,777.3620,751.6485
5.0,28.0879,27.8461,42.8415,42.3742,13.2972,65.3772,52.2146,226.5394,216.3099,225.2706,209.6045,779.3727,761.3372,777.7314,762.6607
6.0,28.0839,27.9111,40.4255,38.9295,13.1136,65.8727,52.7786,225.4939,219.0762,225.5109,212.8468,763.7188,760.7387,767.3596,751.4814
7.0,27.8269,27.6812,43.9674,40.9583,13.3698,67.5626,49.2910,224.7641,218.4100,224.7239,212.8836,773.0891,758.4907,782.3840,752.7891
8.0,27.8623,27.8962,44.6845,40.4308,13.0605,66.3912,50.7196,224.4463,216.0965,227.4604,210.9794,770.4585,760.3986,785.4318,749.9992
9.0,27.7085,27.9702,42.2663,40.0026,13.6486,69.5566,53.2058,226.4174,218.9486,225.4262,211.3206,773.4552,758.8724,782.5450,755.2837
10.0,27.8903,27.6726,43.5926,39.8172,12.9120,67.9303,50.9528,224.7399,215.5095,229.0421,214.2459,785.1631,760.3534,779.8461,749.0720
11.0,28.0521,28.1439,43.4407,39.3571,13.5400,68.2344,50.9598,222.7267,217.6230,225.1563,214.6197,776.1781,763.6544,779.0160,759.0246
12.0,27.6578,27.7372,42.0569,43.1624,13.6769,70.1129,50.1915,227.8447,217.5657,226.3980,212.8422,788.8327,772.6550,782.7108,754.2332
13.0,28.1084,27.7154,42.1541,43.0303,13.3851,69.4106,52.1107,225.2350,221.3072,224.9733,212.1849,783.9078,765.2753,782.8352,763.6509
14.0,27.9187,27.8357,44.7581,44.0532,13.9189,70.0213,50.3211,224.9798,220.6336,228.0014,210.2768,777.3895,774.0774,784.2356,758.8902
15.0,28.0255,27.7982,44.8250,43.7976,13.4994,69.6446,49.2772,229.6075,219.9822,226.5507,214.7213,788.1193,777.2084,795.4107,765.1926
16.0,28.0601,27.8577,44.3549,40.7244,14.0674,69.9887,49.6701,227.8499,218.7309,226.5448,214.7691,793.7942,761.4771,796.9202,768.0982
17.0,27.7575,27.6952,42.1486,41.4959,13.8621,69.6464,50.9258,225.1988,217.8204,226.9261,214.8960,784.7521,764.1498,790.6062,762.9276
18.0,27.8457,27.8351,43.8004,41.1492,13.1249,71.1748,50.6797,228.6468,218.6241,227.8079,213.7004,785.3553,763.9620,786.3238,773.2996
19.0,28.0876,27.9394,43.6780,42.0360,12.9539,70.4320,51.2995,223.4958,222.2084,227.3971,216.1441,786.4591,773.6315,790.4329,760.9550
20.0,27.7731,27.5456,44.6500,40.3367,13.8434,71.5937,49.3607,224.5370,220.0011,228.4489,212.7606,787.6079,767.5420,788.5269,759.1285
21.0,28.1218,27.8663,43.0782,40.6222,13.5760,71.8471,52.1567,225.8130,219.6792,229.2624,214.8862,786.0839,762.2368,782.2408,765.1256
22.0,27.8297,27.8705,44.0783,39.7610,13.4373,72.2458,50.8491,223.8825,221.7897,226.9926,214.9939,787.8052,762.7263,780.0243,764.5097
23.0,28.0624,27.8105,42.1123,42.2537,13.1096,72.7379,50.3387,226.3101,217.9733,229.7787,214.0049,783.0444,769.9818,793.8461,762.6568
24.0,28.0798,27.8161,44.5935,40.1155,12.8488,73.1122,51.4825,224.6684,220.9648,229.0720,212.1815,777.9878,771.9814,783.7516,760.5207
25.0,27.8185,27.7929,44.4133,42.6514,12.8308,70.9762,50.7670,224.4424,220.1155,228.0571,211.6074,784.3102,761.6098,785.4683,756.3495
26.0,27.9549,27.7221,44.8690,39.9561,13.1998,73.3761,50.0806,224.2393,221.2275,227.4568,213.8648,789.0169,764.8574,784.0622,760.9269
27.0,27.9396,27.8550,42.0194,38.8476,12.8272,73.8479,49.4759,223.2204,223.8165,230.4546,214.8251,777.6495,766.7400,784.3065,761.9019
28.0,27.9266,27.7656,42.3687,40.5952,12.9470,74.2779,51.8611,226.1997,221.7987,225.7258,214.0376,793.3126,761.3868,776.0226,753.7141
29.0,28.1734,27.9197,42.5352,41.3151,12.1743,74.2042,52.4229,226.0697,219.8241,227.3971,213.7270,782.4509,767.5673,772.6768,758.0725
30.0,28.1298,27.8701,44.6735,37.5022,12.5811,74.2547,51.9472,226.1695,219.0252,228.5490,211.1575,785.7456,758.2068,776.0405,761.2590
31.0,27.5963,27.7340,41.6718,38.3150,12.9187,74.8177,52.4313,223.7160,220.0659,227.5392,212.6814,780.4199,765.6217,780.8259,756.1614
32.0,27.8261,27.9078,43.6322,40.8484,12.4772,74.9578,49.9571,227.8912,219.1225,227.2103,215.6850,779.4685,751.7577,775.6594,759.0831
33.0,27.9390,27.9017,41.6772,41.8326,12.5914,74.3517,52.0848,225.7941,222.1087,227.8795,213.0808,766.2945,775.7181,784.1662,758.5569
34.0,27.8921,27.7429,41.3399,38.5766,12.9788,74.5354,51.3091,224.8231,219.8711,226.7708,213.2093,771.5706,755.6716,772.6971,755.7552
35.0,28.0423,27.8333,40.0878,40.7979,12.9908,75.1520,52.8436,226.0758,221.2011,227.6685,210.5152,785.7532,754.6776,781.5627,749.2056
