timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.1563,27.7220,41.5490,41.2305,12.7893,63.6359,55.0288,225.5750,216.1530,226.5695,210.4723,775.2093,753.0548,771.5746,744.8796
1.0,27.8785,27.8019,41.8870,40.0634,12.4476,66.0167,52.5442,222.5839,217.4463,226.9421,213.4166,777.0725,759.4846,774.5274,746.7741
2.0,27.7737,27.8081,41.8523,40.0637,12.9456,65.1508,53.1862,224.6563,216.3106,225.8425,210.5566,778.9196,756.8446,776.3261,744.6089
3.0,27.6777,27.7389,40.4107,37.7143,13.0267,67.2890,51.2148,222.9387,219.0704,226.9769,213.5767,776.6118,756.9498,770.0001,747.5401
4.0,27.8844,28.0817,43.2239,39.4548,12.6670,67.0387,50.8823,222.7442,215.3562,224.9299,212.0793,767.5584,758.2931,776.3064,749.0838
5.0,27.8301,28.0017,44.4517,40.0382,12.9969,67.2243,52.8999,224.6640,220.8154,223.9010,210.5919,772.4341,748.5945,780.3206,751.6357
6.0,28.0476,27.6216,45.5940,40.3452,13.1399,67.2209,51.2244,226.9547,216.5984,227.0477,210.8072,775.3458,752.2284,774.8735,751.9743
7.0,27.7352,27.6408,40.7700,40.7909,12.9882,67.4167,51.6097,223.7513,220.4720,225.5878,212.6766,777.5576,758.4017,781.8061,758.4397
8.0,27.9085,27.8620,45.1899,38.9566,13.1368,67.9531,53.0776,224.9205,219.2599,224.6882,212.2285,783.5389,755.7725,774.5755,749.5247
9.0,27.8875,27.5524,42.2234,42.5999,13.2652,68.3821,50.2175,225.8873,219.6174,226.7183,212.3008,776.9716,767.2030,788.4029,761.7435
10.0,27.5950,27.8667,43.2377,39.7215,13.2638,68.7616,50.4748,225.5382,217.3151,225.6523,212.7730,775.3247,769.7851,786.0866,755.6968
11.0,27.9026,27.6386,45.9876,41.5238,13.6195,68.6202,49.0404,222.8609,218.4977,225.4601,212.0740,779.0780,766.1819,788.0307,751.5873
12.0,27.5207,27.7861,45.0387,42.7424,13.5830,69.6497,48.9220,225.2892,218.4165,225.9577,214.8770,785.4099,764.1807,786.0384,766.5594
13.0,28.0049,27.7497,43.7453,39.2946,13.4705,68.6465,53.3470,226.5635,220.4967,225.0825,213.5476,779.0293,763.1996,787.8007,760.6589
