timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,28.2413,27.7727,39.1767,40.5953,12.5971,65.5956,52.6351,225.1182,218.0846,229.6365,209.8933,772.5762,752.6726,777.9244,741.8876
1.0,27.9917,28.1655,40.7367,37.8366,12.7106,64.4114,54.1110,223.6523,216.5490,228.7712,209.9371,771.4280,750.7124,782.5018,742.0875
2.0,28.1612,27.6399,44.6071,38.8172,12.8093,66.0598,52.4277,224.9657,215.8856,224.1926,212.5081,769.2696,762.8193,775.6552,754.4224
3.0,28.1110,27.7988,42.2947,39.0702,12.7417,65.9513,51.9439,222.7183,218.4416,226.5455,211.7057,775.2097,755.5852,770.1135,750.0358
4.0,27.8629,27.8016,41.3034,40.4045,13.2951,66.7696,51.7462,225.2012,216.7636,226.0460,212.0122,782.2719,762.9902,778.8802,755.1141
5.0,27.9197,27.9253,43.2374,38.9368,12.4668,66.7794,53.0711,221.6580,215.0185,223.8889,210.8369,774.6757,758.9516,776.1304,749.3155
6.0,27.6027,27.7588,42.3919,38.1606,13.5050,67.3893,52.0363,223.8184,217.8311,221.9963,211.9066,778.9896,763.5432,784.2895,758.7893
7.0,27.8421,27.7064,42.0008,41.8874,13.6229,67.0405,52.2786,225.8674,218.1226,226.4541,213.4259,781.3489,760.3992,782.3389,764.8817
8.0,28.0737,27.8282,41.0846,39.7299,13.3996,67.5049,51.7188,222.8888,217.4187,226.2319,213.5463,785.8272,760.4903,778.9734,754.1712
9.0,27.7855,27.6813,42.3449,40.1536,12.9279,68.1582,51.7008,223.5105,217.3477,228.5883,213.5279,774.3321,767.7634,778.4154,756.5302
10.0,27.8855,27.3920,42.9935,38.2897,13.0485,67.7488,52.0851,225.4313,221.6259,227.2017,213.3369,779.7678,766.2329,777.2562,751.6831
11.0,27.9043,27.8937,43.3160,39.9738,13.7453,68.7047,51.8028,226.4267,216.4542,224.1237,213.3520,783.8552,751.3800,781.4666,752.9268
12.0,27.6662,27.7637,46.8305,40.8827,13.3469,68.6905,52.1458,222.8804,217.8727,224.9063,215.0892,783.4498,768.1531,782.9764,754.9890
13.0,27.8002,27.7332,43.2131,40.2140,13.1797,69.0004,50.3715,226.8687,218.1592,224.1015,210.8501,778.1686,763.5233,787.7232,755.8863
14.0,27.7725,27.8432,45.7372,41.1471,14.1434,69.3812,51.7566,223.9087,219.1645,228.3461,215.7095,789.9464,763.2192,783.5434,767.8459
15.0,27.6794,27.7247,43.0768,40.3399,13.8735,71.7417,49.3181,227.0275,220.8677,227.8884,214.2739,785.9332,765.2273,793.0457,761.0345
16.0,28.1473,27.3977,43.3031,43.6798,13.4305,69.9823,50.9115,222.8781,220.7294,225.5881,215.0626,786.1908,760.8143,793.8760,767.4430
17.0,28.0198,27.6168,43.6919,40.9353,13.5290,71.4985,51.3472,225.3101,222.1832,226.9595,213.5861,790.6508,767.3683,779.6532,758.4091
18.0,27.9014,28.0725,41.5938,40.3335,13.5247,70.1019,53.1065,223.0879,219.9768,226.1052,213.1864,778.3993,763.2628,796.2373,761.9082
19.0,27.7435,27.4791,43.3683,41.4464,13.8797,70.5600,51.5260,225.7220,220.0481,228.1470,213.4117,784.6866,768.5543,792.3385,766.8844
20.0,27.5865,27.7351,42.9327,40.0920,13.7676,71.7085,52.8383,225.9298,221.1438,228.5876,213.6014,789.8054,769.8450,793.3679,756.9510
21.0,28.1195,27.9028,44.3509,38.3133,13.2818,72.4602,50.6174,228.3984,219.4868,226.5422,213.9480,787.9030,776.7820,792.0117,757.5103
22.0,27.9049,27.6372,42.4244,41.3953,13.0619,72.6753,51.7805,224.3594,220.1005,226.3837,211.8519,787.6754,771.9526,793.3151,763.6214
23.0,27.8171,27.7318,41.5371,42.3252,12.9807,71.8842,50.5944,224.3748,221.1438,232.6891,211.8953,783.8324,770.6973,790.6264,768.3867
24.0,27.9394,28.1117,40.5223,40.7318,12.9822,72.7610,50.3707,226.6571,219.0389,224.6937,212.4849,790.2900,763.4998,780.8336,760.0484
25.0,27.9697,27.9618,41.6254,41.0954,13.0117,73.5782,50.5146,228.1170,221.3943,228.6879,213.5494,786.5557,771.2085,794.6686,750.0676
26.0,28.1042,27.9377,41.7338,39.8413,12.6154,72.6292,52.7768,225.1038,220.4867,227.7388,212.8837,782.1155,769.5410,780.5016,755.3250
27.0,28.2217,27.7563,39.5831,40.0776,12.6689,73.6580,52.4280,226.6969,221.7647,227.1715,212.9654,780.4289,761.7656,785.4819,757.5264
28.0,28.1192,28.0116,41.7285,38.7762,12.8176,75.6116,50.4222,223.6056,221.5784,226.6190,215.5712,779.1042,763.8246,784.4050,759.1999
29.0,28.0415,27.9894,41.8799,38.6964,12.8393,75.0997,50.6648,227.8402,224.3861,228.0234,214.1565,781.9113,770.5044,776.5087,759.1579
30.0,27.8209,27.7332,39.6283,38.3540,12.8299,73.4241,51.3948,225.5298,221.9701,228.0752,215.0086,776.4662,760.1286,778.5488,759.6672
