timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.8807,27.8818,41.4084,39.4815,12.8411,65.9450,53.9840,225.8397,217.2608,227.1341,213.2874,771.5592,749.8517,771.1610,752.9933
1.0,27.6811,27.8267,41.6512,39.5907,12.8164,64.7011,53.0320,225.1508,217.4736,225.8506,212.2516,768.5902,759.9944,769.3613,743.3858
2.0,28.1381,27.8554,43.8493,41.3806,12.9357,64.9602,51.6697,224.5314,217.2211,225.1092,211.5639,767.8413,751.4384,784.1495,744.6375
3.0,27.7955,27.6595,44.4880,42.5606,12.8576,66.1178,51.0274,225.8471,216.5044,225.3838,212.4343,783.4741,754.4903,775.6024,750.1673
4.0,27.9524,27.9814,39.3310,41.9750,12.7618,66.1103,50.7263,222.1386,220.7613,227.2542,212.1678,774.9987,758.6295,773.5782,751.0643
5.0,28.1056,27.8288,42.9599,37.1758,12.9531,65.9067,51.4985,225.2073,215.5985,227.8056,213.4434,778.1271,759.9596,778.7904,752.5757
6.0,27.8401,27.6002,45.1282,41.1860,13.1552,67.9749,53.2860,224.1589,217.3189,223.7314,214.2100,773.7164,750.0717,772.9044,752.1589
7.0,27.7118,27.9555,45.3413,41.3129,13.0520,68.1466,51.7166,224.2401,219.1065,228.6836,212.2407,780.7062,770.8101,776.1285,750.4497
8.0,27.7138,28.0184,43.7116,41.3038,12.9427,67.3285,51.9472,225.7112,220.1367,223.3150,212.1809,776.0826,763.1583,776.1746,748.0517
9.0,27.8145,27.8754,44.4758,43.5452,13.5095,68.3428,50.5131,226.7124,219.5105,225.9132,215.6641,790.1846,764.6665,785.1430,756.5324
10.0,28.1123,27.7469,44.9877,42.3510,12.9683,68.2319,51.0119,225.8306,218.1190,226.3719,211.2591,779.7286,761.0859,780.7201,762.4406
11.0,27.8385,27.6494,42.0121,40.6843,13.6977,69.2122,51.4232,226.5367,223.0276,227.9526,214.7402,782.7500,770.0918,783.4104,757.8916
12.0,28.1747,27.8929,45.3966,40.3347,13.6410,69.4383,50.7087,227.1003,217.7925,226.0646,215.0010,780.1208,762.9741,784.3803,750.9949
13.0,27.6642,27.7473,43.3183,41.3574,13.4703,69.6512,51.0185,224.9238,216.9652,226.8802,211.8029,781.6604,766.1196,784.0673,762.1294
14.0,27.9342,27.7297,44.7356,42.1824,13.9771,70.1024,49.4285,223.0701,218.1748,225.2862,215.3004,787.6625,771.3346,786.1940,766.8269
15.0,27.8653,27.7405,43.4085,43.9948,13.5918,69.4019,50.9888,226.1272,217.6098,226.9480,213.8136,792.6064,763.5339,792.0276,759.4747
