timestamp,volt1,volt2,amp1,amp2,E1_FFlow,E1_OilT,E1_OilP,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4
0.0,27.9743,27.9156,43.0582,36.0016,12.5710,64.5478,53.3073,223.8016,215.6146,226.5059,210.6654,765.9062,748.7236,774.8084,742.4917
1.0,27.8569,27.7407,43.4059,38.7211,12.9014,64.1990,53.1779,225.7664,216.3615,225.5489,215.7336,774.2625,749.3934,781.6054,753.0188
2.0,27.6741,27.6980,40.5217,40.5987,13.1888,66.4768,51.6415,222.7374,218.8677,226.9457,214.1366,775.1626,760.9751,778.2264,747.5924
3.0,27.7771,27.7667,40.8882,37.5398,12.9518,64.6844,51.6841,225.3211,218.2156,222.5648,211.9069,776.5375,759.0920,779.0783,751.6197
4.0,27.7978,27.7272,42.9190,40.4428,12.4903,66.5713,52.4290,225.9283,215.0991,229.6250,211.3140,771.4967,748.9716,774.6261,760.0119
5.0,27.9046,27.6252,41.8033,38.0327,12.8631,67.6395,52.0419,223.3286,216.1790,226.4726,210.5534,770.1934,767.5217,781.3935,752.1459
6.0,28.0249,27.9585,43.1955,42.5356,13.0445,67.3007,52.2137,225.2886,217.9873,222.9222,211.2484,780.3819,749.2772,781.6220,747.5784
7.0,27.9963,27.8720,46.6783,44.1877,13.4070,67.0986,49.7575,224.8277,217.4103,227.1835,210.3178,781.2253,758.8755,769.8972,750.0016
8.0,27.8822,27.6932,42.0594,41.1956,12.8757,66.4523,51.0406,223.0802,216.2686,227.5412,212.6925,778.5558,761.3987,780.1634,758.4729
9.0,27.8255,27.8508,41.7160,40.5704,12.9813,69.2644,51.4494,224.0805,218.6315,225.6947,212.8126,774.7977,766.1694,781.3021,761.3361
10.0,27.8091,27.7197,45.3088,40.6029,13.1875,67.2374,52.5568,225.5143,217.5748,228.4876,211.9394,775.3479,763.6081,786.0359,760.0315
