volt1_mean,volt1_std,volt1_min,volt1_max,volt1_slope,volt1_spectral_entropy,volt2_mean,volt2_std,volt2_min,volt2_max,volt2_slope,volt2_spectral_entropy,amp1_mean,amp1_std,amp1_min,amp1_max,amp1_slope,amp1_spectral_entropy,amp2_mean,amp2_std,amp2_min,amp2_max,amp2_slope,amp2_spectral_entropy,E1_FFlow_mean,E1_FFlow_std,E1_FFlow_min,E1_FFlow_max,E1_FFlow_slope,E1_FFlow_spectral_entropy,E1_OilT_mean,E1_OilT_std,E1_OilT_min,E1_OilT_max,E1_OilT_slope,E1_OilT_spectral_entropy,E1_OilP_mean,E1_OilP_std,E1_OilP_min,E1_OilP_max,E1_OilP_slope,E1_OilP_spectral_entropy,E1_CHT1_mean,E1_CHT1_std,E1_CHT1_min,E1_CHT1_max,E1_CHT1_slope,E1_CHT1_spectral_entropy,E1_CHT2_mean,E1_CHT2_std,E1_CHT2_min,E1_CHT2_max,E1_CHT2_slope,E1_CHT2_spectral_entropy,E1_CHT3_mean,E1_CHT3_std,E1_CHT3_min,E1_CHT3_max,E1_CHT3_slope,E1_CHT3_spectral_entropy,E1_CHT4_mean,E1_CHT4_std,E1_CHT4_min,E1_CHT4_max,E1_CHT4_slope,E1_CHT4_spectral_entropy,E1_EGT1_mean,E1_EGT1_std,E1_EGT1_min,E1_EGT1_max,E1_EGT1_slope,E1_EGT1_spectral_entropy,E1_EGT2_mean,E1_EGT2_std,E1_EGT2_min,E1_EGT2_max,E1_EGT2_slope,E1_EGT2_spectral_entropy,E1_EGT3_mean,E1_EGT3_std,E1_EGT3_min,E1_EGT3_max,E1_EGT3_slope,E1_EGT3_spectral_entropy,E1_EGT4_mean,E1_EGT4_std,E1_EGT4_min,E1_EGT4_max,E1_EGT4_slope,E1_EGT4_spectral_entropy,label
27.938915,0.144422,27.629720,28.330497,0.000927,0.865500,27.854716,0.159769,27.527284,28.366017,0.000212,0.890883,42.525219,1.766843,37.829383,46.345240,-0.024212,0.738131,40.452503,1.886988,34.682251,44.875295,-0.022584,0.811326,13.002573,0.477609,11.932494,13.939852,-0.009676,0.437663,77.328514,6.458632,63.043833,87.732057,0.246110,0.434689,50.134868,1.298029,46.995216,54.086628,-0.029454,0.788305,225.818463,1.441677,221.709399,229.695494,0.007626,0.821096,215.805779,1.696111,211.141688,220.156650,-0.001411,0.887935,226.998536,1.768121,222.796469,230.862195,0.014892,0.778693,214.126266,1.574854,210.385811,217.635318,0.010094,0.859320,778.141431,7.981251,760.105531,797.903240,-0.087465,0.544391,758.372875,7.954677,740.640485,775.625296,-0.092250,0.591353,781.663260,8.212666,759.303978,801.350895,-0.091473,0.564286,756.796156,8.058289,741.472286,774.010152,-0.119904,0.445832,normal
27.956586,0.156430,27.629720,28.330497,0.001514,0.908725,27.857696,0.158334,27.527284,28.247967,0.000123,0.880172,42.099920,1.680814,37.829383,46.345240,-0.029380,0.788755,39.759567,1.667367,34.682251,43.980743,-0.025437,0.849456,12.825534,0.433916,11.932494,13.695247,-0.008992,0.560692,83.941549,5.114790,74.004304,93.645360,0.193404,0.444363,49.331746,1.127313,46.694434,52.092322,-0.018165,0.826495,225.784846,1.480402,221.745739,229.695494,-0.029320,0.818246,215.429523,1.820503,209.671242,219.000503,-0.029216,0.851524,227.099913,1.666141,222.796469,230.815141,-0.021851,0.864155,213.881490,1.639725,208.775632,217.635318,-0.028948,0.826876,776.790430,7.699405,760.105531,797.903240,-0.175619,0.656339,756.387014,8.140694,740.640485,775.625296,-0.203111,0.653466,779.453321,8.055805,759.303978,801.350895,-0.208255,0.664900,753.575629,7.894989,740.243882,774.010152,-0.223452,0.620745,normal
27.966937,0.144872,27.691052,28.330497,-0.000240,0.904122,27.852221,0.145124,27.581340,28.247967,0.000028,0.855849,41.434044,1.426510,37.829383,44.827130,-0.002152,0.896997,39.420866,1.450494,34.682251,42.295123,0.005218,0.874609,12.592516,0.288124,11.932494,13.369137,0.001313,0.879667,88.960042,3.871016,81.227049,94.934887,0.143762,0.481168,48.871892,1.148939,45.477313,51.408233,-0.019321,0.909788,224.985326,1.427881,221.057289,228.562190,-0.020172,0.818874,214.862479,1.688335,209.671242,218.835928,-0.014589,0.866110,226.311351,1.650355,221.893517,230.470776,-0.020503,0.831210,213.288112,1.623788,208.775632,217.516018,-0.019414,0.869861,773.388652,4.770326,761.622418,783.813385,0.008997,0.869323,752.660731,5.147793,740.640485,765.308110,0.001036,0.902299,774.807586,4.977714,759.303978,787.088479,-0.015739,0.872489,749.821676,4.120306,740.243882,761.489382,0.015648,0.862950,normal
27.953416,0.149774,27.565495,28.263197,-0.000298,0.916612,27.854545,0.147419,27.526179,28.247967,0.000403,0.879302,41.472051,1.400054,38.797046,44.827130,-0.001854,0.875086,39.629485,1.441111,35.488268,44.011866,0.013330,0.895215,12.624849,0.271435,11.966701,13.369137,-0.000342,0.898887,92.804626,2.970783,86.526335,98.202757,0.108711,0.482453,48.370872,1.192324,45.243847,50.899882,-0.015459,0.863446,224.615147,1.411363,221.057289,228.562190,-0.006373,0.896512,214.372858,1.574115,209.671242,217.925290,-0.010235,0.892554,225.915655,1.659905,221.605916,229.073230,-0.014009,0.895047,212.902752,1.464246,208.775632,217.111653,-0.000934,0.867724,773.651250,4.419227,761.622418,783.813385,-0.005523,0.879609,752.382964,4.847916,739.316097,765.308110,-0.001599,0.875710,774.802534,4.148537,760.420771,784.865815,0.004760,0.880984,749.388488,4.946760,736.725345,761.489382,0.007528,0.882848,normal
27.928152,0.139392,27.565495,28.235260,-0.000359,0.901485,27.841343,0.136110,27.526179,28.175291,-0.000345,0.908483,41.331184,1.499927,37.435279,44.827130,-0.002075,0.892970,39.776031,1.368868,36.606273,44.011866,-0.005499,0.886399,12.620397,0.278030,11.703494,13.219053,0.000561,0.904803,95.738085,2.487679,89.951467,100.644707,0.090427,0.533387,47.968144,1.213984,44.739856,50.899882,-0.017393,0.870737,224.477202,1.582938,220.458089,228.842076,0.002587,0.852963,214.345025,1.543381,210.605261,217.364445,-0.007282,0.906601,225.553370,1.775238,221.605916,230.294427,-0.002620,0.908564,212.771372,1.344205,210.135307,217.111653,-0.007321,0.871339,772.721831,4.867571,760.146618,783.813385,-0.040127,0.855744,752.198954,4.703667,739.316097,762.261810,-0.015192,0.918467,774.151718,4.642778,760.420771,783.594472,-0.008074,0.915060,750.232712,5.134049,736.725345,761.861978,0.003229,0.875722,normal
27.928435,0.141286,27.565495,28.235260,0.000428,0.852904,27.853198,0.150733,27.397806,28.170651,0.000229,0.864299,41.330080,1.461880,37.435279,44.429294,-0.003743,0.864142,39.724616,1.429840,36.477657,44.011866,-0.005444,0.891197,12.658949,0.296847,11.703494,13.389862,0.000451,0.883135,98.190954,2.071528,94.050129,101.709311,0.073667,0.529486,47.592467,1.135678,44.739856,50.899882,-0.008898,0.900924,224.347025,1.472661,220.458089,228.842076,-0.008003,0.922600,214.238918,1.432814,210.605261,217.189612,0.002410,0.906308,225.417047,1.714260,221.605916,230.294427,-0.008875,0.896969,212.765773,1.404771,209.759367,217.128663,-0.001815,0.882260,772.391950,4.481241,760.146618,782.785962,-0.019150,0.879049,751.987448,4.645188,739.316097,764.965647,0.000335,0.936986,774.648480,4.955206,760.317966,787.211511,0.020747,0.872246,749.681701,5.314559,736.725345,763.504088,0.019273,0.877291,normal
27.934153,0.134320,27.584640,28.219814,0.001079,0.883424,27.846756,0.144467,27.397806,28.170651,0.000497,0.860172,41.461967,1.581856,37.435279,46.659698,0.010437,0.902106,39.516996,1.450173,35.812667,43.015989,-0.002144,0.872453,12.622082,0.321043,11.703494,13.389862,-0.002563,0.889509,100.094829,1.695283,96.242664,103.905082,0.056870,0.615006,47.391128,0.959676,44.739856,49.317138,-0.002991,0.905912,224.227750,1.411147,220.458089,228.842076,-0.007046,0.852032,214.606087,1.532920,210.605261,220.130233,0.012135,0.903388,225.339938,1.664620,221.420199,230.294427,0.000173,0.887291,212.641800,1.403599,209.546544,217.128663,-0.001546,0.880462,771.938899,4.671102,760.146618,783.631387,0.015512,0.896059,751.956615,4.344315,742.551832,764.965647,0.001907,0.889494,774.473667,5.317036,760.317966,787.211511,0.026259,0.859729,750.082629,4.793158,738.135399,763.504088,-0.019109,0.908339,normal
27.944339,0.146820,27.532185,28.266778,0.000300,0.923720,27.852869,0.149734,27.397806,28.170651,-0.001043,0.876013,41.526811,1.468678,37.126357,46.659698,0.002063,0.880565,39.350625,1.661957,35.756981,43.015989,-0.010188,0.872792,12.599678,0.311827,11.828221,13.389862,-0.000826,0.876639,101.577110,1.372721,98.119176,104.561393,0.041501,0.695480,47.217599,0.916716,44.543741,49.242736,-0.005487,0.916095,224.206435,1.295215,220.815531,229.151879,0.007077,0.860646,214.669946,1.477274,211.245380,220.130233,0.006568,0.871868,225.183524,1.459757,221.420199,228.749751,-0.004520,0.928968,212.682360,1.396167,209.546544,217.128663,-0.005485,0.913779,771.997592,4.430576,762.379661,783.631387,-0.020240,0.899596,752.052122,4.901055,737.229016,770.588202,-0.009210,0.907938,775.351690,5.266090,760.317966,787.211511,0.003431,0.831781,750.067307,5.092200,738.135399,763.504088,0.030856,0.852538,normal
27.950146,0.146254,27.532185,28.266778,0.000502,0.892797,27.838012,0.144167,27.471640,28.198197,-0.000442,0.910042,41.727286,1.423713,37.126357,46.659698,0.002068,0.890616,39.250222,1.609745,35.756981,42.311226,-0.002847,0.897644,12.582496,0.317611,11.874709,13.574491,0.002489,0.901240,102.774253,1.258259,99.343406,105.843494,0.037684,0.726275,46.932757,0.968795,44.086403,48.650893,-0.012693,0.886080,224.280276,1.327581,220.815531,229.151879,0.000336,0.903944,214.688049,1.626313,211.245380,220.130233,-0.008341,0.883970,225.472553,1.561790,221.420199,229.774035,0.005876,0.913001,212.559153,1.452781,209.546544,216.383536,-0.000386,0.859134,771.678623,4.630629,762.379661,783.631387,-0.009826,0.883625,752.090938,5.306513,737.229016,770.588202,0.008212,0.911067,774.933052,4.971200,765.231640,785.327258,-0.015753,0.822897,750.300138,4.706153,740.156163,765.708982,0.010059,0.839048,normal
27.946220,0.149218,27.532185,28.277757,0.000618,0.868750,27.832155,0.154405,27.471640,28.198197,-0.000670,0.855703,41.692630,1.240018,37.126357,44.811316,0.006628,0.898537,39.136323,1.585850,34.792969,42.077935,-0.001469,0.923378,12.580672,0.295351,12.058087,13.574491,-0.000578,0.902391,103.617443,0.982110,100.980256,106.176145,0.023613,0.806917,46.668455,1.114060,43.953074,48.485328,-0.006858,0.892720,224.377938,1.376269,220.815531,229.151879,-0.000330,0.889902,214.465724,1.505930,211.250908,217.839484,0.000834,0.911537,225.625994,1.500224,222.472343,229.774035,0.010665,0.831134,212.501496,1.468775,209.594901,216.383536,-0.000567,0.859907,771.759613,4.384548,762.510415,781.925057,0.011247,0.876221,752.810899,5.455846,737.229016,770.588202,0.036990,0.895168,774.871464,4.936107,762.786492,784.549954,-0.018143,0.886922,750.420041,5.182041,740.125847,765.708982,-0.009559,0.906416,normal
